date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s
2001-01-01,-0.022794778396013425,2748572179287.9688,57884490000.0,11.689291509809257,11.69,-46852519.48308449,88205238.21281986,81231170.27828625,4500000.0,-44378451.54855088,1020.8939607965261,940.1755819246093
2001-01-02,-0.02649804315020711,2748340213965.6343,57884490000.0,11.685588245055063,11.7,-179166113.47108108,32780973.875363044,81080182.73855814,4500000.0,-231965322.33427617,379.40941985373894,938.4280409555341
2001-01-03,-0.03012285408492144,2748113162838.404,57884490000.0,11.681963434120348,11.7,-184758717.59261182,43139709.31690968,80932118.9547191,4500000.0,-227051127.23042125,499.3021911679361,936.7143397536933
2001-01-04,-0.028366759259340183,2748223161212.6235,57884490000.0,11.68371952894593,11.69,70551635.71243364,124949914.34603453,81003175.83894967,4500000.0,109998374.2195185,1446.1795641902145,937.5367573952508
2001-01-05,-0.028807671266039243,2748195543339.5996,57884490000.0,11.683278616939232,11.7,1519280.3167524098,56347892.72270838,80985046.0633365,4500000.0,-27617873.023875713,652.1746842906063,937.3269220293578
2001-01-06,-0.032782191363269576,2747946587108.632,57884490000.0,11.679304096842001,11.7,-180065949.51693034,16432458.136255797,80822739.58721097,4500000.0,-248956230.9678855,190.1904876881458,935.4483748519788
2001-01-07,-0.035378446543087125,2747783962719.175,57884490000.0,11.676707841662184,11.7,-122010425.84106323,44602551.496184915,80716515.11217603,4500000.0,-162624389.45705435,516.2332349095476,934.2189249094448
2001-01-08,-0.040161112685746785,2747484385787.187,57884490000.0,11.671925175519524,11.7,-228699216.2207838,14143631.578170862,80521347.34523524,4500000.0,-299576931.98784816,163.69943956216275,931.9600387180004
2001-01-09,-0.045286474201839996,2747163343081.6084,57884490000.0,11.666799814003431,11.7,-239325468.32730225,3095046.8689937214,80312284.12025513,4500000.0,-321042705.57856363,35.82230172446437,929.5403254659158
2001-01-10,-0.05076786548553484,2746819999361.8477,57884490000.0,11.661318422719736,11.7,-274478089.0895131,15723180.478099938,80088811.14947191,4500000.0,-343343719.7608851,181.9812555335641,926.9538327485175
2001-01-11,-0.05201985786947057,2746741576986.949,57884490000.0,11.6600664303358,11.7,-50002863.98099077,56117463.31892536,80036974.23629801,4500000.0,-78422374.89836341,649.5076773023768,926.3538684756714
2001-01-12,-0.05020425778222187,2746855302655.3594,57884490000.0,11.66188203042305,11.7,103872308.45439787,94462968.90854375,80109608.95263691,4500000.0,113725668.41030471,1093.3213994044415,927.1945480629273
2001-01-13,-0.04530136397048208,2747162410415.3765,57884490000.0,11.666784924234788,11.71,234968885.61301917,156946581.43769667,80307707.03377351,4500000.0,307107760.01694226,1816.5113592326004,929.4873499279342
2001-01-14,-0.04296350530430249,2747308849348.337,57884490000.0,11.669122782900969,11.72,110499975.24155343,120840515.03834534,80401557.3193811,4500000.0,146438932.96051764,1398.617072203071,930.5735800854295
2001-01-15,-0.046075453896972166,2747113922923.6006,57884490000.0,11.666010834308299,11.73,-159576459.43342257,49423796.238589115,80273761.54169345,4500000.0,-194926424.7365269,572.034678687374,929.0944622881186
2001-01-16,-0.04774145563014545,2747009567805.9688,57884490000.0,11.664344832575125,11.74,-115655541.62322086,96004820.08767685,80204396.09642099,4500000.0,-104355117.631965,1111.1668991629265,928.2916214863541
