date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s,level_obs_m_asl,level_sim_m_asl
2001-01-01,-0.022849710328538615,2748568738458.2466,57884490000.0,11.689236577876732,11.69,-46852519.48308449,88205238.21281986,84672000.0,4500000.0,-47819281.27026463,1020.8939607965261,980.0,1134.54,1134.5392365778766
2001-01-02,-0.02661031749121378,2748333181318.651,57884490000.0,11.685475970714057,11.7,-179166113.47108108,32780973.875363044,84672000.0,4500000.0,-235557139.59571803,379.40941985373894,980.0,1134.55,1134.535475970714
2001-01-03,-0.030294834633396644,2748102390310.375,57884490000.0,11.681791453571874,11.7,-184758717.59261182,43139709.31690968,84672000.0,4500000.0,-230791008.27570215,499.3021911679361,980.0,1134.55,1134.5317914535717
2001-01-04,-0.02859731161099749,2748208719860.4336,57884490000.0,11.683488976594273,11.69,70551635.71243364,124949914.34603453,84672000.0,4500000.0,106329550.05846816,1446.1795641902145,980.0,1134.54,1134.533488976594
2001-01-05,-0.029097084857928463,2748177415033.473,57884490000.0,11.682989203347342,11.7,1519280.3167524098,56347892.72270838,84672000.0,4500000.0,-31304826.960539207,652.1746842906063,980.0,1134.55,1134.5329892033471
2001-01-06,-0.033133057375180075,2747924609542.0923,57884490000.0,11.678953230830091,11.7,-180065949.51693034,16432458.136255797,84672000.0,4500000.0,-252805491.38067454,190.1904876881458,980.0,1134.55,1134.52895323083
2001-01-07,-0.03579246082053525,2747758029667.7476,57884490000.0,11.676293827384736,11.7,-122010425.84106323,44602551.496184915,84672000.0,4500000.0,-166579874.34487832,516.2332349095476,980.0,1134.55,1134.5262938273847
2001-01-08,-0.0406413910302881,2747454302083.105,57884490000.0,11.671444897174982,11.7,-228699216.2207838,14143631.578170862,84672000.0,4500000.0,-303727584.64261293,163.69943956216275,980.0,1134.55,1134.521444897175
2001-01-09,-0.04583635425232992,2747128899661.6465,57884490000.0,11.66624993395294,11.7,-239325468.32730225,3095046.8689937214,84672000.0,4500000.0,-325402421.4583085,35.82230172446437,980.0,1134.55,1134.5162499339528
2001-01-10,-0.051390914928596085,2746780972753.035,57884490000.0,11.660695373276674,11.7,-274478089.0895131,15723180.478099938,84672000.0,4500000.0,-347926908.6114132,181.9812555335641,980.0,1134.55,1134.5106953732766
2001-01-11,-0.05271690426765389,2746697915352.373,57884490000.0,11.659369383937616,11.7,-50002863.98099077,56117463.31892536,84672000.0,4500000.0,-83057400.66206542,649.5076773023768,980.0,1134.55,1134.5093693839376
2001-01-12,-0.05097414154156896,2746807078629.736,57884490000.0,11.6611121466637,11.7,103872308.45439787,94462968.90854375,84672000.0,4500000.0,109163277.36294162,1093.3213994044415,980.0,1134.55,1134.5111121466637
2001-01-13,-0.04614092250775213,2747109822096.7866,57884490000.0,11.66594536569752,11.71,234968885.61301917,156946581.43769667,84672000.0,4500000.0,302743467.0507158,1816.5113592326004,980.0,1134.56,1134.5159453656975
2001-01-14,-0.043871240324611344,2747251990587.0664,57884490000.0,11.66821504788066,11.72,110499975.24155343,120840515.03834534,84672000.0,4500000.0,142168490.27989876,1398.617072203071,980.0,1134.57,1134.5182150478806
2001-01-15,-0.047053405625964016,2747052665923.8716,57884490000.0,11.665032882579306,11.73,-159576459.43342257,49423796.238589115,84672000.0,4500000.0,-199324663.19483346,572.034678687374,980.0,1134.58,1134.5150328825791
2001-01-16,-0.04879073146873897,2746943843202.336,57884490000.0,11.663295556736532,11.74,-115655541.62322086,96004820.08767685,84672000.0,4500000.0,-108822721.53554401,1111.1668991629265,980.0,1134.59,1134.5132955567365
2001-01-17,-0.04576713297267061,2747133235548.3613,57884490000.0,11.6663191552326,11.74,113561765.61550911,165002580.41002512,84672000.0,4500000.0,189392346.0255342,1909.7520880789946,980.0,1134.59,1134.5163191552324
2001-01-18,-0.041131571544622075,2747423598126.311,57884490000.0,11.670954716660649,11.75,204468109.22878918,175066468.72107708,84672000.0,4500000.0,290362577.9498663,2026.2322768643182,980.0,1134.6,1134.5209547166605
2001-01-19,-0.04326063119247203,2747290237958.928,57884490000.0,11.668825657012798,11.76,-104744727.33790515,60556559.954967976,84672000.0,4500000.0,-133360167.38293718,700.8861105899072,980.0,1134.61,1134.5188256570127
