,rainfall_mm,evap_mm,outflow_m3s,lake_level_m
2001-01-01,3.86058595,4.67,1013.657,11.69
2001-01-02,1.434764757,4.53,1097.585,11.7
2001-01-03,1.888148131,5.08,1154.564,11.7
2001-01-04,5.468834885,4.25,1133.514,11.69
2001-01-05,2.46624676,2.44,1084.993,11.7
2001-01-06,0.719219383,3.83,1061.723,11.7
2001-01-07,1.952174124,4.06,1067.373,11.7
2001-01-08,0.619041527,4.57,1131.601,11.7
2001-01-09,0.135464681,4.27,1141.048,11.7
2001-01-10,0.688175565,5.43,1213.126,11.7
2001-01-11,2.456161276,3.32,1172.816,11.7
2001-01-12,4.134475661,2.34,1136.023,11.7
2001-01-13,6.869271933,2.81,1139.16,11.71
2001-01-14,5.288973807,3.38,1077.34,11.72
2001-01-15,2.163191407,4.92,1050.249,11.73
2001-01-16,4.201959737,6.2,1108.576,11.74
2001-01-17,7.221868639,5.26,1134.526,11.74
2001-01-18,7.66234708,4.13,1117.516,11.75
2001-01-19,2.650452618,4.46,1039.614,11.76
2001-01-20,1.786917835,5.11,991.157,11.75
2001-01-21,5.336941279,4.77,991.125,11.74
2001-01-22,8.605243984,4.17,981.681,11.74
2001-01-23,11.18296928,2.55,1047.789,11.75
2001-01-24,15.92915727,1.79,1078.204,11.77
2001-01-25,0.422163273,3.47,1069.669,11.77
2001-01-26,5.245179965,3.7,1036.454,11.77
2001-01-27,0.039290682,5.44,987.526,11.77
2001-01-28,0.187889994,6.21,977.686,11.77
2001-01-29,0.421741378,5.47,1000.523,11.77
2001-01-30,0.588176569,4.71,1062.708,11.77
2001-01-31,0.479961364,5.81,1113.765,11.76
2001-02-01,0.0,5.84,1114.483,11.76
2001-02-02,0.104138048,6.64,1190.38,11.76
2001-02-03,0.0,5.75,1198.047,11.76
2001-02-04,1.168089565,5.37,1112.9,11.76
2001-02-05,1.477960093,5.42,1134.156,11.76
2001-02-06,4.677750782,4.33,1223.98,11.75
2001-02-07,5.057287335,3.16,1171.691,11.74
2001-02-08,6.014450618,3.12,1174.741,11.77
2001-02-09,3.28629352,4.5,1102.015,11.75
2001-02-10,3.153702768,4.72,1034.925,11.77
2001-02-11,7.802439155,5.09,1039.249,11.76
2001-02-12,1.125489044,4.4,1035.615,11.76
2001-02-13,4.073375994,3.91,1127.588,11.78
2001-02-14,4.294127017,4.98,1086.645,11.79
2001-02-15,0.048943488,6.74,1031.561,11.78
2001-02-16,0.342016685,7.54,1036.695,11.77
2001-02-17,0.0,7.2,1041.972,11.78
2001-02-18,0.049883168,5.82,995.943,11.78
2001-02-19,1.520895055,5.85,988.467,11.78
2001-02-20,1.538692525,6.58,1015.798,11.77
2001-02-21,2.06086569,5.27,1050.116,11.77
2001-02-22,4.73722322,3.64,1051.853,11.77
2001-02-23,9.674268785,4.81,1044.227,11.78
2001-02-24,0.558517033,5.25,900.605,11.77
2001-02-25,1.858992378,6.03,889.101,11.77
2001-02-26,0.712875431,6.71,940.834,11.76
2001-02-27,0.0,7.51,962.55,11.76
2001-02-28,0.0,7.42,978.225,11.74
2001-03-01,0.17940428,7.47,1041.62,11.73
2001-03-02,0.0,7.55,1044.396,11.73
2001-03-03,0.0,7.09,976.687,11.72
2001-03-04,0.0,6.65,963.916,11.71
2001-03-05,1.492552028,5.58,984.033,11.71
2001-03-06,12.0738056,3.68,1057.123,11.73
2001-03-07,2.506005103,4.28,1066.382,11.71
2001-03-08,14.53229498,2.85,1013.842,11.73
2001-03-09,8.182878279,4.58,1004.833,11.74
2001-03-10,1.584664013,6.22,960.294,11.73
2001-03-11,1.40126201,6.02,951.788,11.73
2001-03-12,2.887203948,5.44,889.023,11.72
2001-03-13,6.319293091,5.73,871.502,11.73
2001-03-14,0.052889879,5.54,972.224,11.73
2001-03-15,5.660356285,5.89,1030.307,11.74
2001-03-16,5.268035994,6.34,1051.089,11.73
2001-03-17,8.609947944,5.32,1037.631,11.74
2001-03-18,1.930882363,6.01,1002.076,11.74
2001-03-19,11.94780227,4.09,985.971,11.72
2001-03-20,8.635826186,5.42,1040.865,11.73
2001-03-21,0.709505285,6.51,1068.053,11.72
2001-03-22,3.138696673,5.15,1047.047,11.71
2001-03-23,5.319151963,4.68,1052.649,11.71
2001-03-24,8.562818527,3.8,1053.791,11.71
2001-03-25,1.131104708,4.05,1035.698,11.71
2001-03-26,8.081005577,4.44,1025.651,11.71
2001-03-27,13.50168673,2.7,1101.505,11.72
2001-03-28,13.34425621,3.52,1064.766,11.73
2001-03-29,7.931912942,3.6,1058.167,11.73
2001-03-30,11.98694566,3.09,1064.882,11.73
2001-03-31,12.88425601,4.48,1031.431,11.75
2001-04-01,6.621334722,3.15,1004.678,11.76
2001-04-02,2.668733887,4.89,963.553,11.76
2001-04-03,0.024665894,6.68,1027.083,11.76
2001-04-04,5.062547336,7.08,1048.912,11.75
2001-04-05,17.8459661,5.11,1005.423,11.75
2001-04-06,12.55595288,2.54,1063.276,11.76
2001-04-07,16.0629471,3.08,1064.952,11.76
2001-04-08,9.391822916,2.59,1017.583,11.78
2001-04-09,9.727020914,3.91,1017.209,11.79
2001-04-10,9.031941634,2.6,1055.812,11.8
2001-04-11,6.741758155,5.49,1057.765,11.81
2001-04-12,1.72212884,5.98,1088.584,11.82
2001-04-13,3.765002141,6.62,1033.382,11.82
2001-04-14,3.37924475,6.98,1010.612,11.82
2001-04-15,1.115233006,6.9,1017.68,11.81
2001-04-16,5.491732836,6.7,912.432,11.8
2001-04-17,2.33106023,6.64,986.874,11.81
2001-04-18,0.601625118,7.27,1054.412,11.81
2001-04-19,1.103435654,7.35,1052.553,11.8
2001-04-20,4.302201212,6.54,1062.18,11.79
2001-04-21,9.351543675,5.58,1068.484,11.79
2001-04-22,15.10393433,2.72,1007.527,11.81
2001-04-23,14.51168734,2.96,1018.977,11.82
2001-04-24,6.860057506,4.77,1046.961,11.83
2001-04-25,12.73254764,5.32,1095.75,11.85
2001-04-26,4.909948425,5.15,1097.926,11.84
2001-04-27,9.017942611,4.72,1128.581,11.83
2001-04-28,6.87152372,5.96,983.249,11.84
2001-04-29,5.001043156,6.22,943.505,11.84
2001-04-30,10.44593241,4.2,982.615,11.84
2001-05-01,4.821022113,5.23,1015.026,11.86
2001-05-02,7.815799731,5.58,1029.411,11.87
2001-05-03,0.515437215,5.8,1090.85,11.85
2001-05-04,6.338736332,4.89,1103.747,11.84
2001-05-05,18.48501163,3.52,1029.286,11.86
2001-05-06,6.885950302,3.77,988.991,11.87
2001-05-07,4.244767015,3.73,989.852,11.87
2001-05-08,4.71242394,5.12,1053.545,11.87
