stage_rel_m,area_m2,storage_m3,dSdh_m2
-20.0,46026560000.0,1496313868811.8552,46039317865.37532
-19.95,46051900000.0,1498615834705.124,46052444195.138504
-19.9,46079210000.0,1500919113231.3691,46078779939.30354
-19.849999999999998,46105210000.0,1503223712699.0544,46105368025.053055
-19.799999999999997,46131650000.0,1505529650033.8745,46132087852.82405
-19.749999999999996,46158720000.0,1507836921484.337,46158941360.5511
-19.699999999999996,46186510000.0,1510145544169.9297,46187088771.97688
-19.649999999999995,46215460000.0,1512455630361.5347,46214728902.240555
-19.599999999999994,46239970000.0,1514767017060.1538,46240257255.93196
-19.549999999999994,46265230000.0,1517079656087.128,46265195704.39143
-19.499999999999993,46290420000.0,1519393536630.593,46290423584.14241
-19.449999999999992,46315590000.0,1521708698445.5422,46315773890.34114
-19.39999999999999,46340990000.0,1524025114019.6272,46341207855.59505
-19.34999999999999,46367980000.0,1526342819231.1018,46367350062.86311
-19.29999999999999,46393130000.0,1528661849025.9136,46393217828.45149
-19.24999999999999,46418230000.0,1530982141013.947,46418482085.72444
-19.19999999999999,46444310000.0,1533303697234.486,46444512662.81428
-19.149999999999988,46471370000.0,1535626592280.2285,46471133548.58576
-19.099999999999987,46496930000.0,1537950810589.3447,46497304832.84113
-19.049999999999986,46523210000.0,1540276322763.5127,46523566312.672676
-18.999999999999986,46550830000.0,1542603167220.612,46550692737.19172
-18.949999999999985,46578390000.0,1544931392037.232,46578295821.4593
-18.899999999999984,46606030000.0,1547260996802.758,46605452625.50715
-18.849999999999984,46632140000.0,1549591937299.7827,46632185764.735664
-18.799999999999983,46658760000.0,1551924215379.2317,46658443245.92219
-18.749999999999982,46684090000.0,1554257781624.375,46684102846.06623
-18.69999999999998,46709830000.0,1556592625663.8384,46709885618.59553
-18.64999999999998,46735650000.0,1558928770186.2346,46735704270.59504
-18.59999999999998,46761470000.0,1561266196090.898,46761455842.58967
-18.54999999999998,46787100000.0,1563604915770.4937,46787237689.50861
-18.49999999999998,46813120000.0,1565944919859.8489,46813334726.40803
-18.449999999999978,46840060000.0,1568286249243.1345,46839678818.43684
-18.399999999999977,46865620000.0,1570628887741.6926,46865730093.04133
-18.349999999999977,46891880000.0,1572972822252.4387,46892254219.476875
-18.299999999999976,46919230000.0,1575318113163.6404,46919257387.61652
-18.249999999999975,46946000000.0,1577664747991.2004,46945786858.59553
-18.199999999999974,46971700000.0,1580012691849.5,46971390579.684395
-18.149999999999974,46996780000.0,1582361887049.169,46996971532.43829
-18.099999999999973,47022950000.0,1584712389002.744,47022848039.20831
-18.049999999999972,47048370000.0,1587064171853.0898,47049388697.43097
-17.99999999999997,47077390000.0,1589417327872.487,47077249495.49982
-17.94999999999997,47105930000.0,1591771896802.64,47105457624.13263
-17.89999999999997,47133430000.0,1594127873634.9004,47133120663.571106
-17.84999999999997,47159940000.0,1596485208868.997,47160113366.66437
-17.79999999999997,47186720000.0,1598843884971.567,47186659009.20587
-17.749999999999968,47212950000.0,1601203874769.9177,47213174946.28351
-17.699999999999967,47239690000.0,1603565202466.1953,47239658788.5296
-17.649999999999967,47265790000.0,1605927840648.7708,47265996356.62286
-17.599999999999966,47293440000.0,1608291802101.8577,47293271173.21222
-17.549999999999965,47321330000.0,1610657167766.092,47320753123.89581
-17.499999999999964,47346520000.0,1613023877414.2473,47346696259.540344
-17.449999999999964,47371350000.0,1615391837392.0461,47371782146.22247
-17.399999999999963,47396810000.0,1617761055628.8696,47396815553.812805
-17.349999999999962,47421490000.0,1620131518947.4275,47421737144.70148
-17.29999999999996,47447200000.0,1622503229343.3398,47447040505.45099
-17.24999999999996,47472740000.0,1624876222997.9727,47473021804.77472
-17.19999999999996,47499570000.0,1627250531523.8174,47499884222.4798
-17.14999999999996,47527530000.0,1629626211420.2207,47527555842.51397
-17.09999999999996,47555020000.0,1632003287108.0688,47554657958.45635
-17.049999999999958,47580560000.0,1634381677216.0664,47580645872.04034
-16.999999999999957,47606840000.0,1636761351695.273,47606636233.063286
-16.949999999999957,47632980000.0,1639142340839.3728,47633586841.7669
-16.899999999999956,47662000000.0,1641524710379.4497,47661500059.049614
-16.849999999999955,47688690000.0,1643908490845.2778,47688632817.84356
-16.799999999999955,47714500000.0,1646293573661.2341,47714390192.264946
-16.749999999999954,47739320000.0,1648679929864.5044,47739668618.514946
-16.699999999999953,47764790000.0,1651067540523.0857,47764688808.28545
-16.649999999999952,47789840000.0,1653456398745.333,47789960703.99346
-16.59999999999995,47815670000.0,1655846536593.485,47815653351.17364
-16.54999999999995,47840900000.0,1658237964080.4504,47841261794.779594
-16.49999999999995,47867180000.0,1660630662772.9631,47867139203.76397
-16.44999999999995,47893340000.0,1663024678000.827,47893379732.279594
-16.39999999999995,47919510000.0,1665420000746.1912,47919390421.78155
-16.349999999999948,47945110000.0,1667816617043.0051,47945009472.43096
-16.299999999999947,47970510000.0,1670214501693.4343,47970885678.64434
-16.249999999999947,47997870000.0,1672613705610.8696,47998512519.572075
-16.199999999999946,48027080000.0,1675014352945.3916,48026716277.8753
-16.149999999999945,48054300000.0,1677416377238.6572,48054203508.25615
-16.099999999999945,48081730000.0,1679819773296.2173,48081833443.37822
-16.049999999999944,48109360000.0,1682224560582.995,48109279250.990524
-15.999999999999943,48136010000.0,1684630701221.3164,48136045512.587204
-15.949999999999942,48163040000.0,1687038165134.254,48163167019.15459
-15.899999999999942,48190830000.0,1689447017923.232,48191027315.13847
-15.849999999999941,48218880000.0,1691857267865.7678,48218942852.01836
-15.79999999999994,48246690000.0,1694268912208.4338,48246643460.15556
-15.74999999999994,48274380000.0,1696681932211.7834,48274218839.44023
-15.699999999999939,48301820000.0,1699096334092.378,48301623928.475876
-15.649999999999938,48328720000.0,1701512094604.631,48328860706.94023
-15.599999999999937,48356150000.0,1703929220163.072,48356103053.10478
-15.549999999999937,48383270000.0,1706347704909.9417,48383476393.31474
-15.499999999999936,48411450000.0,1708767567802.4036,48411426540.94902
-15.449999999999935,48439330000.0,1711188847564.0366,48439216758.405075
-15.399999999999935,48466360000.0,1713611489478.2441,48466436868.3831
-15.349999999999934,48493810000.0,1716035491250.875,48493893654.2083
-15.299999999999933,48522010000.0,1718460878843.665,48521937874.56474
-15.249999999999932,48550110000.0,1720887685038.3315,48550484906.06621
-15.199999999999932,48579410000.0,1723315927334.2717,48579293875.94414
-15.149999999999931,48608160000.0,1725745614425.926,48608044459.59403
