date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,level_obs_m_asl,level_sim_m_asl
2001-01-01,-0.022912070884014226,2748564832313.986,57884490000.0,11.689192470449026,11.69,-46852519.48308449,88205237.98972149,87579964.8,4354838.70967742,-50582085.00304042,1020.8939582143691,1134.54,1134.5391924704488
2001-01-02,-0.026832551814895238,2748319260991.5977,57884490000.0,11.685271989518146,11.7,-179166113.47108108,32780973.792449806,94831344.0,4354838.70967742,-245571322.3883087,379.409418894095,1134.55,1134.5352719895182
2001-01-03,-0.03075553688310911,2748073532814.9033,57884490000.0,11.681349004449931,11.7,-184758717.59261182,43139709.20779599,99754329.60000001,4354838.70967742,-245728176.69449326,499.30218990504625,1134.55,1134.5313490044498
2001-01-04,-0.029267446408378927,2748166743916.336,57884490000.0,11.682837094924661,11.69,70551635.71243364,124949914.0299975,97935609.6,4354838.70967742,93211101.43275373,1446.1795605323784,1134.54,1134.5328370949246
2001-01-05,-0.029909724610880872,2748126512855.323,57884490000.0,11.68219481672216,11.7,1519280.3167524098,56347892.580187105,93743395.19999999,4354838.70967742,-40231061.01273789,652.1746826410545,1134.55,1134.532194816722
2001-01-06,-0.03405610453661178,2747866791657.991,57884490000.0,11.678048436796429,11.7,-180065949.51693034,16432458.094693024,91732867.2,4354838.70967742,-259721197.33191475,190.19048720709517,1134.55,1134.5280484367963
2001-01-07,-0.03683370873632011,2747692807917.624,57884490000.0,11.67527083259672,11.7,-122010425.84106323,44602551.38337125,92221027.2,4354838.70967742,-173983740.3673694,516.2332336038339,1134.55,1134.5252708325966
2001-01-08,-0.041889432786866056,2747376127167.836,57884490000.0,11.670215108546175,11.7,-228699216.2207838,14143631.542397236,97770326.4,4354838.70967742,-316680749.78806394,163.69943914811617,1134.55,1134.5202151085462
2001-01-09,-0.04730422059750337,2747036955360.46,57884490000.0,11.664800320735537,11.7,-239325468.32730225,3095046.86116539,98586547.2,4354838.70967742,-339171807.37581426,35.82230163385868,1134.55,1134.5148003207355
2001-01-10,-0.05317802687198492,2746669031526.699,57884490000.0,11.658926514461056,11.7,-274478089.0895131,15723180.438331148,104814086.39999999,4354838.70967742,-367923833.7608594,181.98125507327717,1134.55,1134.5089265144609
2001-01-11,-0.05476766008947651,2746569459984.7856,57884490000.0,11.657336881243564,11.7,-50002863.98099077,56117463.17698691,101331302.4,4354838.70967742,-99571541.91368128,649.5076756595707,1134.55,1134.5073368812434
2001-01-12,-0.05323779070662144,2746665288036.0,57884490000.0,11.65886675062642,11.7,103872308.45439787,94462968.66961767,98152387.19999999,4354838.70967742,95828051.21433814,1093.3213966390933,1134.55,1134.5088667506263
2001-01-13,-0.04862179204909037,2746954425239.944,57884490000.0,11.66348274928395,11.71,234968885.61301917,156946581.04073018,98423424.0,4354838.70967742,289137203.94407195,1816.5113546380808,1134.56,1134.5134827492839
2001-01-14,-0.0464840586352347,2747088328715.2085,57884490000.0,11.665620482697806,11.72,110499975.24155343,120840514.73270224,93082176.0,4354838.70967742,133903475.26457827,1398.6170686655353,1134.57,1134.5156204826976
2001-01-15,-0.04976080464952086,2746883079699.579,57884490000.0,11.66234373668352,11.73,-159576459.43342257,49423796.11358103,90741513.60000001,4354838.70967742,-205249015.62951896,572.0346772405212,1134.58,1134.5123437366835
2001-01-16,-0.05167316473242446,2746763293172.691,57884490000.0,11.660431376600616,11.74,-115655541.62322086,96004819.84485094,95780966.4,4354838.70967742,-119786526.88804734,1111.1668963524414,1134.59,1134.5104313766005
2001-01-17,-0.04886039469092675,2746939479633.1895,57884490000.0,11.663244146642114,11.74,113561765.61550911,165002579.9926825,98023046.4,4354838.70967742,176186460.49851418,1909.75208324864,1134.59,1134.5132441466421
2001-01-18,-0.044412198922490716,2747218105989.587,57884490000.0,11.66769234241055,11.75,204468109.22878918,175066468.27827978,96553382.4,4354838.70967742,278626356.3973916,2026.2322717393492,1134.6,1134.5176923424106
2001-01-19,-0.04662116986403272,2747079740333.741,57884490000.0,11.665483371469008,11.76,-104744727.33790515,60556559.80180169,89822649.60000001,4354838.70967742,-138365655.8457809,700.8861088171492,1134.61,1134.515483371469
2001-01-20,-0.050476954675935284,2746838221450.779,57884490000.0,11.661627586657106,11.75,-192354916.34912086,40826836.896158956,85635964.8,4354838.70967742,-241518882.9626393,472.53283444628426,1134.6,1134.511627586657
