date,tributary,q_m3s
2003-01-01,Awach,7.544
2003-02-01,Awach,4.708
2003-03-01,Awach,4.32
2003-04-01,Awach,5.328
2003-05-01,Awach,12.884
2003-06-01,Awach,11.408
2003-07-01,Awach,9.724
2003-08-01,Awach,10.788
2003-09-01,Awach,9.396
2003-10-01,Awach,7.56
2003-11-01,Awach,7.3
2003-12-01,Awach,2.2552
2004-01-01,Awach,2.6344
2004-02-01,Awach,2.9248
2004-03-01,Awach,4.74
2004-04-01,Awach,14.628
2004-05-01,Awach,11.64
2004-06-01,Awach,6.328
2004-07-01,Awach,5.78
2004-08-01,Awach,5.312
2004-09-01,Awach,4.244
2004-10-01,Awach,2.8284
2004-11-01,Awach,4.416
2004-12-01,Awach,6.216
2005-01-01,Awach,3.9112
2005-02-01,Awach,3.3248
2005-03-01,Awach,4.92
2005-04-01,Awach,8.412
2005-05-01,Awach,10.584
2005-06-01,Awach,7.444
2005-07-01,Awach,7.816
2005-08-01,Awach,11.808
2005-09-01,Awach,9.492
2005-10-01,Awach,4.776
2005-11-01,Awach,2.9744
2005-12-01,Awach,3.442
2006-01-01,Awach,3.8528
2006-02-01,Awach,1.0712
2006-03-01,Awach,6.276
2006-04-01,Awach,13.408
2006-05-01,Awach,13.384
2006-06-01,Awach,10.488
2006-07-01,Awach,8.4
2006-08-01,Awach,5.712
2006-09-01,Awach,4.004
2006-10-01,Awach,3.4316
2006-11-01,Awach,11.528
2006-12-01,Awach,10.736
2007-01-01,Awach,11.096
2007-02-01,Awach,12.412
2007-03-01,Awach,8.144
2007-04-01,Awach,9.004
2007-05-01,Awach,11.18
2007-06-01,Awach,8.412
2007-07-01,Awach,9.868
2007-08-01,Awach,9.52
2007-09-01,Awach,14.636
2007-10-01,Awach,5.224
2007-11-01,Awach,5.576
2007-12-01,Awach,2.87
2008-01-01,Awach,1.7736
2008-02-01,Awach,2.4092
2008-03-01,Awach,4.12
2008-04-01,Awach,6.54
2008-05-01,Awach,6.86
2008-06-01,Awach,5.22
2008-07-01,Awach,3.2912
2008-08-01,Awach,4.64
2008-09-01,Awach,6.304
2008-10-01,Awach,6.64
2008-11-01,Awach,6.768
2008-12-01,Awach,5.232
2009-01-01,Awach,3.5124
2009-02-01,Awach,1.1388
2009-03-01,Awach,0.5644
2009-04-01,Awach,5.132
2009-05-01,Awach,10.84
2009-06-01,Awach,7.504
2009-07-01,Awach,6.256
2009-08-01,Awach,4.968
2009-09-01,Awach,6.9
2009-10-01,Awach,3.9676
2009-11-01,Awach,3.2888
2009-12-01,Awach,9.056
2010-01-01,Awach,7.804
2010-02-01,Awach,10.064
2010-03-01,Awach,9.604
2010-04-01,Awach,11.312
2010-05-01,Awach,15.164
2010-06-01,Awach,8.796
2010-07-01,Awach,6.732
2010-08-01,Awach,9.616
2010-09-01,Awach,9.312
2010-10-01,Awach,7.276
2010-11-01,Awach,6.18
2010-12-01,Awach,4.804
2011-01-01,Awach,3.7788
2011-02-01,Awach,2.5124
2011-03-01,Awach,2.7444
2011-04-01,Awach,4.284
2011-05-01,Awach,8.36
2011-06-01,Awach,8.832
2011-07-01,Awach,9.02
2011-08-01,Awach,9.948
2011-09-01,Awach,11.388
2011-10-01,Awach,10.964
2011-11-01,Awach,9.128
2011-12-01,Awach,10.392
2012-01-01,Awach,5.268
2012-02-01,Awach,2.3004
2012-03-01,Awach,2.3196
2012-04-01,Awach,11.332
2012-05-01,Awach,14.092
2012-06-01,Awach,12.944
2012-07-01,Awach,9.464
2012-08-01,Awach,9.904
2012-09-01,Awach,8.368
2012-10-01,Awach,6.764
2012-11-01,Awach,10.016
2012-12-01,Awach,9.3
2013-01-01,Awach,4.728
2013-02-01,Awach,3.7964
2013-03-01,Awach,3.5796
2013-04-01,Awach,13.364
2013-05-01,Awach,12.604
2013-06-01,Awach,10.112
2013-07-01,Awach,8.616
2013-08-01,Awach,7.208
2013-09-01,Awach,11.084
2013-10-01,Awach,5.968
2013-11-01,Awach,4.7
2013-12-01,Awach,6.64
2014-01-01,Awach,4.776
2014-02-01,Awach,5.856
2014-03-01,Awach,5.92
2014-04-01,Awach,4.952
2014-05-01,Awach,8.68
2014-06-01,Awach,10.256
2014-07-01,Awach,3.8012
2014-08-01,Awach,9.64
2014-09-01,Awach,7.476
2014-10-01,Awach,6.672
2014-11-01,Awach,6.328
2014-12-01,Awach,4.744
2015-01-01,Awach,1.53238
2015-02-01,Awach,1.13186
2015-03-01,Awach,0.7837
2015-04-01,Awach,7.5956
2015-05-01,Awach,14.4194
2015-06-01,Awach,9.894
2015-07-01,Awach,9.1188
2015-08-01,Awach,6.1302
2015-09-01,Awach,4.675
2015-10-01,Awach,5.6372
2015-11-01,Awach,7.242
2015-12-01,Awach,8.5612
2016-01-01,Awach,5.9534
2016-02-01,Awach,4.6138
2016-03-01,Awach,4.5662
2016-04-01,Awach,7.9662
2016-05-01,Awach,12.223
2016-06-01,Awach,6.987
2016-07-01,Awach,6.4838
2016-08-01,Awach,5.967
2016-09-01,Awach,4.8824
2016-10-01,Awach,6.6504
2016-11-01,Awach,5.6066
2016-12-01,Awach,3.8862
2017-01-01,Awach,2.20082
2017-02-01,Awach,2.2797
2017-03-01,Awach,1.13866
2017-04-01,Awach,2.62684
2017-05-01,Awach,6.6368
2017-06-01,Awach,5.5386
2017-07-01,Awach,7.6942
2017-08-01,Awach,7.548
2017-09-01,Awach,8.4694
2017-10-01,Awach,8.789
2017-11-01,Awach,8.9148
2017-12-01,Awach,4.42
2018-01-01,Awach,3.4646
2018-02-01,Awach,1.92576
2018-03-01,Awach,5.4026
2018-04-01,Awach,16.0072
2018-05-01,Awach,24.1128
2018-06-01,Awach,19.4378
2018-07-01,Awach,10.6692
2018-08-01,Awach,8.5816
2018-09-01,Awach,8.1226
2018-10-01,Awach,5.5692
2018-11-01,Awach,4.3724
2018-12-01,Awach,5.78
2019-01-01,Awach,2.6979
2019-02-01,Awach,0.88196
2019-03-01,Awach,0.77826
2019-04-01,Awach,4.6308
2019-05-01,Awach,6.3308
2019-06-01,Awach,8.9182
2019-07-01,Awach,8.4932
2019-08-01,Awach,7.293
2019-09-01,Awach,10.8698
2019-10-01,Awach,11.6382
2019-11-01,Awach,7.2522
2019-12-01,Awach,12.9608
2020-01-01,Awach,11.5566
2020-02-01,Awach,9.4044
2020-03-01,Awach,12.3182
2020-04-01,Awach,14.926
2020-05-01,Awach,14.246
2020-06-01,Awach,10.9038
2020-07-01,Awach,9.0576
2020-08-01,Awach,6.3036
2020-09-01,Awach,8.7754
2020-10-01,Awach,8.8978
2020-11-01,Awach,16.3608
2020-12-01,Awach,7.5412
2021-01-01,Awach,6.7252
2021-02-01,Awach,5.5386
2021-03-01,Awach,4.3248
2021-04-01,Awach,8.5612
2021-05-01,Awach,13.4742
2021-06-01,Awach,5.9262
2021-07-01,Awach,9.5302
2021-08-01,Awach,3.8862
2021-09-01,Awach,8.2416
2021-10-01,Awach,6.2254
2021-11-01,Awach,3.9066
2021-12-01,Awach,3.05218
2022-01-01,Awach,4.8314
2022-02-01,Awach,8.9386
2022-03-01,Awach,6.7354
2022-04-01,Awach,7.9696
2022-05-01,Awach,11.9714
2022-06-01,Awach,7.2794
2022-07-01,Awach,6.6028
2022-08-01,Awach,7.463
2022-09-01,Awach,8.2212
2022-10-01,Awach,6.6232
2022-11-01,Awach,10.5094
2022-12-01,Awach,8.381
2023-01-01,Awach,4.1004
2023-02-01,Awach,1.54156
2023-03-01,Awach,2.58468
2023-04-01,Awach,8.6768
2023-05-01,Awach,13.2974
2023-06-01,Awach,7.3236
2023-07-01,Awach,5.3686
2023-08-01,Awach,3.4986
2023-09-01,Awach,8.7856
2023-10-01,Awach,6.1302
2023-11-01,Awach,13.4844
2023-12-01,Awach,7.5378
2003-01-01,Grumeti,12.573
2003-02-01,Grumeti,8.802
2003-03-01,Grumeti,5.907
2003-04-01,Grumeti,10.968
2003-05-01,Grumeti,16.956
2003-06-01,Grumeti,15.9
2003-07-01,Grumeti,13.785
2003-08-01,Grumeti,11.292
2003-09-01,Grumeti,12.246
2003-10-01,Grumeti,11.289
2003-11-01,Grumeti,8.916
2003-12-01,Grumeti,11.013
2004-01-01,Grumeti,10.239
2004-02-01,Grumeti,8.439
2004-03-01,Grumeti,8.901
2004-04-01,Grumeti,15.957
2004-05-01,Grumeti,15.867
2004-06-01,Grumeti,11.328
2004-07-01,Grumeti,6.243
2004-08-01,Grumeti,5.382
2004-09-01,Grumeti,8.028
2004-10-01,Grumeti,10.887
2004-11-01,Grumeti,11.814
2004-12-01,Grumeti,12.729
2005-01-01,Grumeti,11.07
2005-02-01,Grumeti,9.393
2005-03-01,Grumeti,8.298
2005-04-01,Grumeti,11.559
2005-05-01,Grumeti,18.888
2005-06-01,Grumeti,16.338
2005-07-01,Grumeti,11.79
2005-08-01,Grumeti,8.943
2005-09-01,Grumeti,7.287
2005-10-01,Grumeti,4.983
2005-11-01,Grumeti,6.099
2005-12-01,Grumeti,4.641
2006-01-01,Grumeti,2.4186
2006-02-01,Grumeti,2.9544
2006-03-01,Grumeti,9.693
2006-04-01,Grumeti,16.257
2006-05-01,Grumeti,21.441
2006-06-01,Grumeti,19.269
2006-07-01,Grumeti,14.127
2006-08-01,Grumeti,8.697
2006-09-01,Grumeti,7.266
2006-10-01,Grumeti,7.488
2006-11-01,Grumeti,17.298
2006-12-01,Grumeti,22.614
2007-01-01,Grumeti,22.959
2007-02-01,Grumeti,20.826
2007-03-01,Grumeti,19.191
2007-04-01,Grumeti,13.923
2007-05-01,Grumeti,15.282
2007-06-01,Grumeti,12.63
2007-07-01,Grumeti,11.604
2007-08-01,Grumeti,11.097
2007-09-01,Grumeti,10.281
2007-10-01,Grumeti,9.117
2007-11-01,Grumeti,8.166
2007-12-01,Grumeti,6.645
2008-01-01,Grumeti,4.332
2008-02-01,Grumeti,3.453
2008-03-01,Grumeti,5.793
2008-04-01,Grumeti,12.411
2008-05-01,Grumeti,14.529
2008-06-01,Grumeti,14.781
2008-07-01,Grumeti,10.437
2008-08-01,Grumeti,9.831
2008-09-01,Grumeti,8.982
2008-10-01,Grumeti,10.497
2008-11-01,Grumeti,12.738
2008-12-01,Grumeti,10.005
2009-01-01,Grumeti,7.158
2009-02-01,Grumeti,6.321
2009-03-01,Grumeti,4.899
2009-04-01,Grumeti,10.224
2009-05-01,Grumeti,13.983
2009-06-01,Grumeti,13.161
2009-07-01,Grumeti,9.552
2009-08-01,Grumeti,5.877
2009-09-01,Grumeti,8.139
2009-10-01,Grumeti,8.781
2009-11-01,Grumeti,9.765
2009-12-01,Grumeti,13.131
2010-01-01,Grumeti,13.944
2010-02-01,Grumeti,12.747
2010-03-01,Grumeti,13.887
2010-04-01,Grumeti,16.134
2010-05-01,Grumeti,23.295
2010-06-01,Grumeti,20.664
2010-07-01,Grumeti,13.923
2010-08-01,Grumeti,10.758
2010-09-01,Grumeti,9.522
2010-10-01,Grumeti,9.675
2010-11-01,Grumeti,10.227
2010-12-01,Grumeti,10.647
2011-01-01,Grumeti,10.053
2011-02-01,Grumeti,6.522
2011-03-01,Grumeti,4.434
2011-04-01,Grumeti,6.834
2011-05-01,Grumeti,11.922
2011-06-01,Grumeti,11.619
2011-07-01,Grumeti,10.308
2011-08-01,Grumeti,13.38
2011-09-01,Grumeti,13.386
2011-10-01,Grumeti,12.864
2011-11-01,Grumeti,16.593
2011-12-01,Grumeti,20.04
2012-01-01,Grumeti,12.654
2012-02-01,Grumeti,6.282
2012-03-01,Grumeti,5.919
2012-04-01,Grumeti,15.768
2012-05-01,Grumeti,18.81
2012-06-01,Grumeti,20.793
2012-07-01,Grumeti,19.263
2012-08-01,Grumeti,16.095
2012-09-01,Grumeti,17.397
2012-10-01,Grumeti,15.213
2012-11-01,Grumeti,19.029
2012-12-01,Grumeti,21.21
2013-01-01,Grumeti,16.716
2013-02-01,Grumeti,15.051
2013-03-01,Grumeti,10.665
2013-04-01,Grumeti,22.152
2013-05-01,Grumeti,21.453
2013-06-01,Grumeti,16.926
2013-07-01,Grumeti,12.627
2013-08-01,Grumeti,8.427
2013-09-01,Grumeti,9.534
2013-10-01,Grumeti,10.743
2013-11-01,Grumeti,11.967
2013-12-01,Grumeti,13.758
2014-01-01,Grumeti,10.332
2014-02-01,Grumeti,8.895
2014-03-01,Grumeti,10.596
2014-04-01,Grumeti,12.903
2014-05-01,Grumeti,12.882
2014-06-01,Grumeti,15.948
2014-07-01,Grumeti,10.944
2014-08-01,Grumeti,14.874
2014-09-01,Grumeti,15.255
2014-10-01,Grumeti,13.611
2014-11-01,Grumeti,12.633
2014-12-01,Grumeti,13.098
2015-01-01,Grumeti,17.2276
2015-02-01,Grumeti,13.1352
2015-03-01,Grumeti,9.5446
2015-04-01,Grumeti,18.4288
2015-05-01,Grumeti,23.1556
2015-06-01,Grumeti,19.0346
2015-07-01,Grumeti,12.324
2015-08-01,Grumeti,8.6216
2015-09-01,Grumeti,8.7984
2015-10-01,Grumeti,11.2918
2015-11-01,Grumeti,11.6714
2015-12-01,Grumeti,9.1234
2016-01-01,Grumeti,9.3288
2016-02-01,Grumeti,15.405
2016-03-01,Grumeti,16.5152
2016-04-01,Grumeti,17.2068
2016-05-01,Grumeti,19.7236
2016-06-01,Grumeti,17.4356
2016-07-01,Grumeti,12.5814
2016-08-01,Grumeti,13.4862
2016-09-01,Grumeti,12.0146
2016-10-01,Grumeti,11.1072
2016-11-01,Grumeti,11.7468
2016-12-01,Grumeti,21.6476
2017-01-01,Grumeti,15.8678
2017-02-01,Grumeti,8.9362
2017-03-01,Grumeti,8.4604
2017-04-01,Grumeti,18.5172
2017-05-01,Grumeti,20.5634
2017-06-01,Grumeti,18.7278
2017-07-01,Grumeti,14.9214
2017-08-01,Grumeti,12.2278
2017-09-01,Grumeti,10.7302
2017-10-01,Grumeti,12.9298
2017-11-01,Grumeti,19.4454
2017-12-01,Grumeti,18.4444
2003-01-01,Kagera,166.0103
2003-02-01,Kagera,177.781
2003-03-01,Kagera,320.8
2003-04-01,Kagera,470.918
2003-05-01,Kagera,248.6924
2003-06-01,Kagera,379.3643
2003-07-01,Kagera,359.0856
2003-08-01,Kagera,66.397
2003-09-01,Kagera,265.7233
2003-10-01,Kagera,89.5224
2003-11-01,Kagera,32.5148
2003-12-01,Kagera,274.0324
2004-01-01,Kagera,60.7193
2004-02-01,Kagera,296.3228
2004-03-01,Kagera,467.2043
2004-04-01,Kagera,268.386
2004-05-01,Kagera,260.0181
2004-06-01,Kagera,163.2528
2004-07-01,Kagera,520.7439
2004-08-01,Kagera,56.5601
2004-09-01,Kagera,91.6228
2004-10-01,Kagera,26.1171
2004-11-01,Kagera,80.3758
2004-12-01,Kagera,110.021
2005-01-01,Kagera,146.7635
2005-02-01,Kagera,205.2951
2005-03-01,Kagera,330.7021
2005-04-01,Kagera,410.6354
2005-05-01,Kagera,230.3618
2005-06-01,Kagera,220.2775
2005-07-01,Kagera,65.2093
2005-08-01,Kagera,67.5893
2005-09-01,Kagera,496.2617
2005-10-01,Kagera,96.3899
2005-11-01,Kagera,386.0934
2005-12-01,Kagera,410.5747
2006-01-01,Kagera,370.8767
2006-02-01,Kagera,398.411
2006-03-01,Kagera,328.8134
2006-04-01,Kagera,369.2961
2006-05-01,Kagera,350.0295
2006-06-01,Kagera,520.958
2006-07-01,Kagera,110.0753
2006-08-01,Kagera,146.4071
2006-09-01,Kagera,186.0708
2006-10-01,Kagera,108.9618
2006-11-01,Kagera,216.0419
2006-12-01,Kagera,336.4369
2007-01-01,Kagera,266.9727
2007-02-01,Kagera,344.8498
2007-03-01,Kagera,320.2563
2007-04-01,Kagera,472.7524
2007-05-01,Kagera,527.0849
2007-06-01,Kagera,148.7664
2007-07-01,Kagera,86.1094
2007-08-01,Kagera,226.1082
2007-09-01,Kagera,90.4405
2007-10-01,Kagera,108.5161
2007-11-01,Kagera,168.1962
2007-12-01,Kagera,198.4529
2008-01-01,Kagera,168.9875
2008-02-01,Kagera,430.4605
2008-03-01,Kagera,310.9406
2008-04-01,Kagera,310.1121
2008-05-01,Kagera,302.8951
2008-06-01,Kagera,96.1778
2008-07-01,Kagera,98.7277
2008-08-01,Kagera,69.8555
2008-09-01,Kagera,45.8471
2008-10-01,Kagera,630.875
2008-11-01,Kagera,480.8244
2008-12-01,Kagera,418.6008
2009-01-01,Kagera,110.5069
2009-02-01,Kagera,89.4503
2009-03-01,Kagera,309.1598
2009-04-01,Kagera,372.7451
2009-05-01,Kagera,538.5873
2009-06-01,Kagera,98.8099
2009-07-01,Kagera,88.8134
2009-08-01,Kagera,272.0249
2009-09-01,Kagera,112.1965
2009-10-01,Kagera,285.4825
2009-11-01,Kagera,120.8391
2009-12-01,Kagera,253.382
2010-01-01,Kagera,523.3939
2010-02-01,Kagera,630.7113
2010-03-01,Kagera,930.2106
2010-04-01,Kagera,876.3243
2010-05-01,Kagera,480.1642
2010-06-01,Kagera,18.9246
2010-07-01,Kagera,96.0952
2010-08-01,Kagera,86.9182
2010-09-01,Kagera,90.6763
2010-10-01,Kagera,98.4098
2010-11-01,Kagera,150.7075
2010-12-01,Kagera,280.2148
2011-01-01,Kagera,324.4006
2011-02-01,Kagera,265.6485
2011-03-01,Kagera,268.2971
2011-04-01,Kagera,362.4944
2011-05-01,Kagera,324.4819
2011-06-01,Kagera,172.3929
2011-07-01,Kagera,558.2293
2011-08-01,Kagera,137.7021
2011-09-01,Kagera,720.9346
2011-10-01,Kagera,1258.2249
2011-11-01,Kagera,192.156065
2011-12-01,Kagera,358.3416
2012-01-01,Kagera,160.2633
2012-02-01,Kagera,302.561
2012-03-01,Kagera,318.2317
2012-04-01,Kagera,570.5274
2012-05-01,Kagera,266.8308
2012-06-01,Kagera,230.4819
2012-07-01,Kagera,142.3634
2012-08-01,Kagera,101.2287
2012-09-01,Kagera,128.5907
2012-10-01,Kagera,179.9516
2012-11-01,Kagera,98.8486
2012-12-01,Kagera,138.2556
2013-01-01,Kagera,190.6667
2013-02-01,Kagera,183.9919
2013-03-01,Kagera,179.0346
2013-04-01,Kagera,208.759
2013-05-01,Kagera,228.048
2013-06-01,Kagera,220.2232
2013-07-01,Kagera,198.3935
2013-08-01,Kagera,187.8964
2013-09-01,Kagera,120.6017
2013-10-01,Kagera,100.9905
2013-11-01,Kagera,201.138
2013-12-01,Kagera,213.1699
2014-01-01,Kagera,209.4298
2014-02-01,Kagera,191.3381
2014-03-01,Kagera,175.0432
2014-04-01,Kagera,205.6733
2014-05-01,Kagera,276.8577
2014-06-01,Kagera,254.6845
2014-07-01,Kagera,241.0999
2014-08-01,Kagera,221.751
2014-09-01,Kagera,199.0899
2014-10-01,Kagera,191.8734
2014-11-01,Kagera,228.3353
2014-12-01,Kagera,268.0424
2015-01-01,Kagera,283.6058
2015-02-01,Kagera,279.2627
2015-03-01,Kagera,269.8214
2015-04-01,Kagera,378.7767
2015-05-01,Kagera,398.1559
2015-06-01,Kagera,313.993
2015-07-01,Kagera,283.9774
2015-08-01,Kagera,262.7065
2015-09-01,Kagera,187.7194
2015-10-01,Kagera,98.1384
2015-11-01,Kagera,211.1464
2015-12-01,Kagera,301.5205
2016-01-01,Kagera,348.3605
2016-02-01,Kagera,356.4915
2016-03-01,Kagera,348.1266
2016-04-01,Kagera,368.5433
2016-05-01,Kagera,228.9461
2016-06-01,Kagera,309.8559
2016-07-01,Kagera,183.3368
2016-08-01,Kagera,169.6861
2016-09-01,Kagera,168.4673
2016-10-01,Kagera,165.1755
2016-11-01,Kagera,178.238
2016-12-01,Kagera,181.7021
2017-01-01,Kagera,170.965
2017-02-01,Kagera,268.2981
2017-03-01,Kagera,206.9728
2017-04-01,Kagera,289.7647
2017-05-01,Kagera,270.9201
2017-06-01,Kagera,279.3639
2017-07-01,Kagera,265.0597
2017-08-01,Kagera,159.4797
2017-09-01,Kagera,120.3273
2017-10-01,Kagera,148.7659
2017-11-01,Kagera,156.4484
2017-12-01,Kagera,216.7616
2018-01-01,Kagera,222.4843
2018-02-01,Kagera,307.7484
2018-03-01,Kagera,300.9975
2018-04-01,Kagera,316.8811
2018-05-01,Kagera,376.1186
2018-06-01,Kagera,236.8572
2018-07-01,Kagera,224.1407
2018-08-01,Kagera,210.7793
2018-09-01,Kagera,106.8376
2018-10-01,Kagera,179.6473
2018-11-01,Kagera,248.2721
2018-12-01,Kagera,308.5025
1998-01-01,Katonga,14.12885766
1998-02-01,Katonga,8.404717852
1998-03-01,Katonga,4.299708973
1998-04-01,Katonga,5.688180693
1998-05-01,Katonga,12.59680204
1998-06-01,Katonga,6.948817873
1998-07-01,Katonga,3.444900992
1998-08-01,Katonga,8.38205995
1998-09-01,Katonga,2.004621127
