,Awach,Grumeti,Kagera,Katonga,Magogo,Mbalangeti,Migori,Mori,Nyando,Nzoia,Rwizi,Simiyu,Sio_Malaba,Sondu,Yala
1965-01-01,,,,,,,,,26.1315,,,,,,
1965-02-01,,,,,,,,,24.8177,,,,,,
1965-03-01,,,,,,,,,24.6659,,,,,,
1965-04-01,,,,,,,,,26.2335,,,,,,
1965-05-01,,,,,,,,,26.536,,,,,,
1965-06-01,,,,,,,,,24.3968,,,,,,
1965-07-01,,,,,,,,,24.2069,,,,,,
1965-08-01,,,,,,,,,24.4953,,,,,,
1965-09-01,,,,,,,,,23.7162,,,,,,
1965-10-01,,,,,,,,,24.0051,,,,,,
1965-11-01,,,,,,,,,26.0913,,,,,,
1965-12-01,,,,,,,,,24.2113,,,,,,
1966-01-01,,,,,,,,,22.8741,,,,,,
1966-02-01,,,,,,,,,24.6375,,,,,,
1966-03-01,,,,,,,,,26.9759,,,,,,
1966-04-01,,,,,,,,,33.9179,,,,,,
1966-05-01,,,,,,,,,28.392,,,,,,
1966-06-01,,,,,,,,,26.9977,,,,,,
1966-07-01,,,,,,,,,27.4834,,,,,,
1966-08-01,,,,,,,,,30.2771,,,,,,
1966-09-01,,,,,,,,,36.12679994,,,,,,
1966-10-01,,,,,,,,,53.7966,,,,,,
1966-11-01,,,,,,,,,42.3214,,,,,,
1966-12-01,,,,,,,,,23.5765,,,,,,
1967-01-01,,,,,,,,,23.2565,,,,,,
1967-02-01,,,,,,,,,23.262,,,,,,
1967-03-01,,,,,,,,,23.1909,,,,,,
1967-04-01,,,,,,,,,28.1006,,,,,,
1967-05-01,,,,,,,,,37.8063,,,,,,
1967-06-01,,,,,,,,,33.4929,,,,,,
1967-07-01,,,,,,,,,40.96632188,,,,,,
1967-08-01,,,,,,,,,53.3264,,,,,,
1967-09-01,,,,,,,,,48.6839,,,,,,
1967-10-01,,,,,,,,,43.3011,,,,,,
1967-11-01,,,,,,,,,29.9719,,,,,,
1967-12-01,,,,,,,,,30.1869,,,,,,
1968-01-01,,,,,,,,,25.1598,,,,,,
1968-02-01,,,,,,,,,25.9578,,,,,,
1968-03-01,,,,,,,,,31.24799348,,,,,,
1968-04-01,,,,,,,,,48.99750437,,,,,,
1968-05-01,,,,,,,,,46.58429223,,,,,,
1968-06-01,,,,,,,,,36.13686328,,,,,,
1968-07-01,,,,,,,,,45.42708657,,,,,,
1968-08-01,,,,,,,,,31.74082565,,,,,,
1968-09-01,,,,,,,,,31.74082565,,,,,,
1968-10-01,,,,,,,,,38.3779,,,,,,
1968-11-01,,,,,,,,,27.3449,,,,,,
1968-12-01,,,,,,,,,26.0128,,,,,,
1969-01-01,,,,,,,,,27.7766,,,,,,
1969-02-01,,,,,,,,,26.6475,,,,,,
1969-03-01,,,,,,,,,25.0812,,,,,,
1969-04-01,,,,,,,,,29.9476,,,,,,
1969-05-01,,,,,,,,,26.2356,,,,,,
1969-06-01,,,,,,,,,26.2036,,,,,,
1969-07-01,,,,,,,,,26.9336,,,,,,
1969-08-01,,,,,,,,,28.045,,,,,,
1969-09-01,,,,,,,,,25.0961,,,,,,
1969-10-01,,,,,,,,,24.48,,,,,,
1969-11-01,,,,,,,,,23.2931,,,,,,
1969-12-01,,,,,,,,,28.1179,,,,,,
1970-01-01,,,,,,,,,30.0392,,,,,,
1970-02-01,,,,,,,,,23.743,,,,,,
1970-03-01,,,,,,,,,28.9395,,,,,,
1970-04-01,,,,,,,,,33.7539,,,,,,
1970-05-01,,,,,,,,,31.7626,,,,,,
1970-06-01,,,,,,,,,52.1436,,,,,,
1970-07-01,,,,,,,,,49.5867,,,,,,
1970-08-01,,,,,,,,,42.8302,,,,,,
1970-09-01,,,,,,,,,38.58668208,,,,,,
1970-10-01,,,,,,,,,23.319,,,,,,
1970-11-01,,,,,,,,,25.0434,,,,,,
1970-12-01,,,,,,,,,36.5013,,,,,,
1971-01-01,,,,,,,,,37.7984,,,,,,70.875
1971-02-01,,,,,,,,,38.9465,,,,,,66.72785714
1971-03-01,,,,,,,,,42.9408,,,,,,63.59774194
1971-04-01,,,,,,,,,45.9801,,,,,,77.014
1971-05-01,,,,,,,,,32.687,,,,,,88.42193548
1971-06-01,,,,,,,,,27.9087,,,,,,84.15433333
1971-07-01,,,,,,,,,27.1534,,,,,,85.01967742
1971-08-01,,,,,,,,,25.0691,,,,,,97.30183333
1971-09-01,,,,,,,,,24.5911,,,,,,102.2384091
