Date,Average_pcp_mm/day
01/01/2001,3.86058595
01/02/2001,1.434764757
01/03/2001,1.888148131
01/04/2001,5.468834885
01/05/2001,2.46624676
01/06/2001,0.719219383
01/07/2001,1.952174124
01/08/2001,0.619041527
01/09/2001,0.135464681
01/10/2001,0.688175565
01/11/2001,2.456161276
01/12/2001,4.134475661
1/13/2001,6.869271933
1/14/2001,5.288973807
1/15/2001,2.163191407
1/16/2001,4.201959737
1/17/2001,7.221868639
1/18/2001,7.66234708
1/19/2001,2.650452618
1/20/2001,1.786917835
1/21/2001,5.336941279
1/22/2001,8.605243984
1/23/2001,11.18296928
1/24/2001,15.92915727
1/25/2001,0.422163273
1/26/2001,5.245179965
1/27/2001,0.039290682
1/28/2001,0.187889994
1/29/2001,0.421741378
1/30/2001,0.588176569
1/31/2001,0.479961364
02/01/2001,0
02/02/2001,0.104138048
02/03/2001,0
02/04/2001,1.168089565
02/05/2001,1.477960093
02/06/2001,4.677750782
02/07/2001,5.057287335
02/08/2001,6.014450618
02/09/2001,3.28629352
02/10/2001,3.153702768
02/11/2001,7.802439155
02/12/2001,1.125489044
2/13/2001,4.073375994
2/14/2001,4.294127017
2/15/2001,0.048943488
2/16/2001,0.342016685
2/17/2001,0
2/18/2001,0.049883168
2/19/2001,1.520895055
2/20/2001,1.538692525
2/21/2001,2.06086569
2/22/2001,4.73722322
2/23/2001,9.674268785
2/24/2001,0.558517033
2/25/2001,1.858992378
2/26/2001,0.712875431
2/27/2001,0
2/28/2001,0
03/01/2001,0.17940428
03/02/2001,0
03/03/2001,0
03/04/2001,0
03/05/2001,1.492552028
03/06/2001,12.0738056
03/07/2001,2.506005103
03/08/2001,14.53229498
03/09/2001,8.182878279
03/10/2001,1.584664013
03/11/2001,1.40126201
03/12/2001,2.887203948
3/13/2001,6.319293091
3/14/2001,0.052889879
3/15/2001,5.660356285
3/16/2001,5.268035994
3/17/2001,8.609947944
3/18/2001,1.930882363
3/19/2001,11.94780227
3/20/2001,8.635826186
3/21/2001,0.709505285
3/22/2001,3.138696673
3/23/2001,5.319151963
3/24/2001,8.562818527
3/25/2001,1.131104708
3/26/2001,8.081005577
3/27/2001,13.50168673
3/28/2001,13.34425621
3/29/2001,7.931912942
3/30/2001,11.98694566
3/31/2001,12.88425601
04/01/2001,6.621334722
04/02/2001,2.668733887
04/03/2001,0.024665894
04/04/2001,5.062547336
04/05/2001,17.8459661
04/06/2001,12.55595288
04/07/2001,16.0629471
04/08/2001,9.391822916
04/09/2001,9.727020914
04/10/2001,9.031941634
04/11/2001,6.741758155
04/12/2001,1.72212884
4/13/2001,3.765002141
4/14/2001,3.37924475
4/15/2001,1.115233006
4/16/2001,5.491732836
4/17/2001,2.33106023
4/18/2001,0.601625118
4/19/2001,1.103435654
4/20/2001,4.302201212
4/21/2001,9.351543675
4/22/2001,15.10393433
4/23/2001,14.51168734
4/24/2001,6.860057506
4/25/2001,12.73254764
4/26/2001,4.909948425
4/27/2001,9.017942611
4/28/2001,6.87152372
4/29/2001,5.001043156
4/30/2001,10.44593241
05/01/2001,4.821022113
05/02/2001,7.815799731
05/03/2001,0.515437215
05/04/2001,6.338736332
05/05/2001,18.48501163
05/06/2001,6.885950302
05/07/2001,4.244767015
05/08/2001,4.71242394
05/09/2001,1.434690323
05/10/2001,1.685914405
05/11/2001,2.821601848
05/12/2001,1.788543898
5/13/2001,2.356646405
5/14/2001,4.81479479
5/15/2001,3.218810942
5/16/2001,8.490570072
5/17/2001,8.323989826
5/18/2001,11.91193908
5/19/2001,9.53142831
5/20/2001,0.787715325
5/21/2001,3.285882537
5/22/2001,2.383858275
5/23/2001,0.267813663
5/24/2001,14.61991825
5/25/2001,4.442901346
5/26/2001,2.124819086
5/27/2001,17.62928946
5/28/2001,20.73155548
5/29/2001,3.708908193
5/30/2001,1.17370285
5/31/2001,1.286339913
06/01/2001,1.27007545
06/02/2001,0.793502299
06/03/2001,5.362873439
06/04/2001,2.983625196
06/05/2001,1.742997704
06/06/2001,2.258474644
06/07/2001,4.71473394
06/08/2001,3.367110793
06/09/2001,8.80161929
06/10/2001,6.918495604
06/11/2001,4.122054913
06/12/2001,1.656761723
6/13/2001,0.591824491
6/14/2001,0.95415497
6/15/2001,0.931121143
6/16/2001,0.866279854
6/17/2001,2.678747231
6/18/2001,0.903337721
6/19/2001,2.103846122
6/20/2001,2.950512687
6/21/2001,2.406257298
6/22/2001,0.438377728
6/23/2001,0.298769975
6/24/2001,0.058964664
6/25/2001,0.468566619
6/26/2001,5.567703549
6/27/2001,4.399929008
6/28/2001,3.375764808
6/29/2001,2.857703359
6/30/2001,0.639874576
07/01/2001,0.345453155
07/02/2001,0.348716189
07/03/2001,0.003580572
07/04/2001,0.107572362
07/05/2001,0.282427776
07/06/2001,0.807586072
07/07/2001,0.073208722
07/08/2001,0.008439768
07/09/2001,0
07/10/2001,0.091005728
07/11/2001,0.228125783
07/12/2001,1.887790775
7/13/2001,1.116722001
7/14/2001,4.685459684
7/15/2001,2.656448264
7/16/2001,0
7/17/2001,2.160407007
7/18/2001,4.170576315
7/19/2001,4.578271683
7/20/2001,2.472550408
7/21/2001,2.090392685
7/22/2001,1.272612291
7/23/2001,10.66489347
7/24/2001,2.712559519
7/25/2001,1.322315362
7/26/2001,7.533164287
7/27/2001,0.536629418
7/28/2001,4.340037159
7/29/2001,1.901770541
7/30/2001,1.934263909
7/31/2001,0.242171959
08/01/2001,0
08/02/2001,0
08/03/2001,0.268802125
08/04/2001,0.113453284
08/05/2001,0.025596605
08/06/2001,0.144129143
08/07/2001,0.101056591
08/08/2001,0.779997853
08/09/2001,1.556996156
08/10/2001,4.644375441
08/11/2001,1.235647334
08/12/2001,5.440291627
8/13/2001,1.103564585
8/14/2001,3.278322684
8/15/2001,2.799768831
8/16/2001,4.153086337
8/17/2001,1.695147444
8/18/2001,2.022076371
8/19/2001,4.04894051
8/20/2001,2.370198562
8/21/2001,0
8/22/2001,0.319938112
8/23/2001,0.663837113
8/24/2001,1.219586982
8/25/2001,1.192706427
8/26/2001,1.674351401
8/27/2001,1.794879051
8/28/2001,0.413521653
8/29/2001,0.472247805
8/30/2001,1.188904215
8/31/2001,3.879846034
09/01/2001,1.463888381
