Date,Flow_m3/s
01/01/2003,7.544
01/02/2003,4.708
01/03/2003,4.32
01/04/2003,5.328
01/05/2003,12.884
01/06/2003,11.408
01/07/2003,9.724
01/08/2003,10.788
01/09/2003,9.396
01/10/2003,7.56
01/11/2003,7.3
01/12/2003,2.2552
01/01/2004,2.6344
01/02/2004,2.9248
01/03/2004,4.74
01/04/2004,14.628
01/05/2004,11.64
01/06/2004,6.328
01/07/2004,5.78
01/08/2004,5.312
01/09/2004,4.244
01/10/2004,2.8284
01/11/2004,4.416
01/12/2004,6.216
01/01/2005,3.9112
01/02/2005,3.3248
01/03/2005,4.92
01/04/2005,8.412
01/05/2005,10.584
01/06/2005,7.444
01/07/2005,7.816
01/08/2005,11.808
01/09/2005,9.492
01/10/2005,4.776
01/11/2005,2.9744
01/12/2005,3.442
01/01/2006,3.8528
01/02/2006,1.0712
01/03/2006,6.276
01/04/2006,13.408
01/05/2006,13.384
01/06/2006,10.488
01/07/2006,8.4
01/08/2006,5.712
01/09/2006,4.004
01/10/2006,3.4316
01/11/2006,11.528
01/12/2006,10.736
01/01/2007,11.096
01/02/2007,12.412
01/03/2007,8.144
01/04/2007,9.004
01/05/2007,11.18
01/06/2007,8.412
01/07/2007,9.868
01/08/2007,9.52
01/09/2007,14.636
01/10/2007,5.224
01/11/2007,5.576
01/12/2007,2.87
01/01/2008,1.7736
01/02/2008,2.4092
01/03/2008,4.12
01/04/2008,6.54
01/05/2008,6.86
01/06/2008,5.22
01/07/2008,3.2912
01/08/2008,4.64
01/09/2008,6.304
01/10/2008,6.64
01/11/2008,6.768
01/12/2008,5.232
01/01/2009,3.5124
01/02/2009,1.1388
01/03/2009,0.5644
01/04/2009,5.132
01/05/2009,10.84
01/06/2009,7.504
01/07/2009,6.256
01/08/2009,4.968
01/09/2009,6.9
01/10/2009,3.9676
01/11/2009,3.2888
01/12/2009,9.056
01/01/2010,7.804
01/02/2010,10.064
01/03/2010,9.604
01/04/2010,11.312
01/05/2010,15.164
01/06/2010,8.796
01/07/2010,6.732
01/08/2010,9.616
01/09/2010,9.312
01/10/2010,7.276
01/11/2010,6.18
01/12/2010,4.804
01/01/2011,3.7788
01/02/2011,2.5124
01/03/2011,2.7444
01/04/2011,4.284
01/05/2011,8.36
01/06/2011,8.832
01/07/2011,9.02
01/08/2011,9.948
01/09/2011,11.388
01/10/2011,10.964
01/11/2011,9.128
01/12/2011,10.392
01/01/2012,5.268
01/02/2012,2.3004
01/03/2012,2.3196
01/04/2012,11.332
01/05/2012,14.092
01/06/2012,12.944
01/07/2012,9.464
01/08/2012,9.904
01/09/2012,8.368
01/10/2012,6.764
01/11/2012,10.016
01/12/2012,9.3
01/01/2013,4.728
01/02/2013,3.7964
01/03/2013,3.5796
01/04/2013,13.364
01/05/2013,12.604
01/06/2013,10.112
01/07/2013,8.616
01/08/2013,7.208
01/09/2013,11.084
01/10/2013,5.968
01/11/2013,4.7
01/12/2013,6.64
01/01/2014,4.776
01/02/2014,5.856
01/03/2014,5.92
01/04/2014,4.952
01/05/2014,8.68
01/06/2014,10.256
01/07/2014,3.8012
01/08/2014,9.64
01/09/2014,7.476
01/10/2014,6.672
01/11/2014,6.328
01/12/2014,4.744
01/01/2015,1.53238
01/02/2015,1.13186
01/03/2015,0.7837
01/04/2015,7.5956
01/05/2015,14.4194
01/06/2015,9.894
01/07/2015,9.1188
01/08/2015,6.1302
01/09/2015,4.675
01/10/2015,5.6372
01/11/2015,7.242
01/12/2015,8.5612
01/01/2016,5.9534
01/02/2016,4.6138
01/03/2016,4.5662
01/04/2016,7.9662
01/05/2016,12.223
01/06/2016,6.987
01/07/2016,6.4838
01/08/2016,5.967
01/09/2016,4.8824
01/10/2016,6.6504
01/11/2016,5.6066
01/12/2016,3.8862
01/01/2017,2.20082
01/02/2017,2.2797
01/03/2017,1.13866
01/04/2017,2.62684
01/05/2017,6.6368
01/06/2017,5.5386
01/07/2017,7.6942
01/08/2017,7.548
01/09/2017,8.4694
01/10/2017,8.789
01/11/2017,8.9148
01/12/2017,4.42
01/01/2018,3.4646
01/02/2018,1.92576
01/03/2018,5.4026
01/04/2018,16.0072
01/05/2018,24.1128
01/06/2018,19.4378
01/07/2018,10.6692
01/08/2018,8.5816
01/09/2018,8.1226
01/10/2018,5.5692
01/11/2018,4.3724
01/12/2018,5.78
01/01/2019,2.6979
01/02/2019,0.88196
01/03/2019,0.77826
01/04/2019,4.6308
01/05/2019,6.3308
01/06/2019,8.9182
01/07/2019,8.4932
01/08/2019,7.293
01/09/2019,10.8698
01/10/2019,11.6382
01/11/2019,7.2522
01/12/2019,12.9608
