Date,Flow_m3/s
01/01/2003,12.573
01/02/2003,8.802
01/03/2003,5.907
01/04/2003,10.968
01/05/2003,16.956
01/06/2003,15.9
01/07/2003,13.785
01/08/2003,11.292
01/09/2003,12.246
01/10/2003,11.289
01/11/2003,8.916
01/12/2003,11.013
01/01/2004,10.239
01/02/2004,8.439
01/03/2004,8.901
01/04/2004,15.957
01/05/2004,15.867
01/06/2004,11.328
01/07/2004,6.243
01/08/2004,5.382
01/09/2004,8.028
01/10/2004,10.887
01/11/2004,11.814
01/12/2004,12.729
01/01/2005,11.07
01/02/2005,9.393
01/03/2005,8.298
01/04/2005,11.559
01/05/2005,18.888
01/06/2005,16.338
01/07/2005,11.79
01/08/2005,8.943
01/09/2005,7.287
01/10/2005,4.983
01/11/2005,6.099
01/12/2005,4.641
01/01/2006,2.4186
01/02/2006,2.9544
01/03/2006,9.693
01/04/2006,16.257
01/05/2006,21.441
01/06/2006,19.269
01/07/2006,14.127
01/08/2006,8.697
01/09/2006,7.266
01/10/2006,7.488
01/11/2006,17.298
01/12/2006,22.614
01/01/2007,22.959
01/02/2007,20.826
01/03/2007,19.191
01/04/2007,13.923
01/05/2007,15.282
01/06/2007,12.63
01/07/2007,11.604
01/08/2007,11.097
01/09/2007,10.281
01/10/2007,9.117
01/11/2007,8.166
01/12/2007,6.645
01/01/2008,4.332
01/02/2008,3.453
01/03/2008,5.793
01/04/2008,12.411
01/05/2008,14.529
01/06/2008,14.781
01/07/2008,10.437
01/08/2008,9.831
01/09/2008,8.982
01/10/2008,10.497
01/11/2008,12.738
01/12/2008,10.005
01/01/2009,7.158
01/02/2009,6.321
01/03/2009,4.899
01/04/2009,10.224
01/05/2009,13.983
01/06/2009,13.161
01/07/2009,9.552
01/08/2009,5.877
01/09/2009,8.139
01/10/2009,8.781
01/11/2009,9.765
01/12/2009,13.131
01/01/2010,13.944
01/02/2010,12.747
01/03/2010,13.887
01/04/2010,16.134
01/05/2010,23.295
01/06/2010,20.664
01/07/2010,13.923
01/08/2010,10.758
01/09/2010,9.522
01/10/2010,9.675
01/11/2010,10.227
01/12/2010,10.647
01/01/2011,10.053
01/02/2011,6.522
01/03/2011,4.434
01/04/2011,6.834
01/05/2011,11.922
01/06/2011,11.619
01/07/2011,10.308
01/08/2011,13.38
01/09/2011,13.386
01/10/2011,12.864
01/11/2011,16.593
01/12/2011,20.04
01/01/2012,12.654
01/02/2012,6.282
01/03/2012,5.919
01/04/2012,15.768
01/05/2012,18.81
01/06/2012,20.793
01/07/2012,19.263
01/08/2012,16.095
01/09/2012,17.397
01/10/2012,15.213
01/11/2012,19.029
01/12/2012,21.21
01/01/2013,16.716
01/02/2013,15.051
01/03/2013,10.665
01/04/2013,22.152
01/05/2013,21.453
01/06/2013,16.926
01/07/2013,12.627
01/08/2013,8.427
01/09/2013,9.534
01/10/2013,10.743
01/11/2013,11.967
01/12/2013,13.758
01/01/2014,10.332
01/02/2014,8.895
01/03/2014,10.596
01/04/2014,12.903
01/05/2014,12.882
01/06/2014,15.948
01/07/2014,10.944
01/08/2014,14.874
01/09/2014,15.255
01/10/2014,13.611
01/11/2014,12.633
01/12/2014,13.098
01/01/2015,17.2276
01/02/2015,13.1352
01/03/2015,9.5446
01/04/2015,18.4288
01/05/2015,23.1556
01/06/2015,19.0346
01/07/2015,12.324
01/08/2015,8.6216
01/09/2015,8.7984
01/10/2015,11.2918
01/11/2015,11.6714
01/12/2015,9.1234
01/01/2016,9.3288
01/02/2016,15.405
01/03/2016,16.5152
01/04/2016,17.2068
01/05/2016,19.7236
01/06/2016,17.4356
01/07/2016,12.5814
01/08/2016,13.4862
01/09/2016,12.0146
01/10/2016,11.1072
01/11/2016,11.7468
01/12/2016,21.6476
01/01/2017,15.8678
01/02/2017,8.9362
01/03/2017,8.4604
01/04/2017,18.5172
01/05/2017,20.5634
01/06/2017,18.7278
01/07/2017,14.9214
01/08/2017,12.2278
01/09/2017,10.7302
01/10/2017,12.9298
01/11/2017,19.4454
01/12/2017,18.4444
