Date,Flow_m3/s
01/01/2003,166.0103
01/02/2003,177.781
01/03/2003,320.8
01/04/2003,470.918
01/05/2003,248.6924
01/06/2003,379.3643
01/07/2003,359.0856
01/08/2003,66.397
01/09/2003,265.7233
01/10/2003,89.5224
01/11/2003,32.5148
01/12/2003,274.0324
01/01/2004,60.7193
01/02/2004,296.3228
01/03/2004,467.2043
01/04/2004,268.386
01/05/2004,260.0181
01/06/2004,163.2528
01/07/2004,520.7439
01/08/2004,56.5601
01/09/2004,91.6228
01/10/2004,26.1171
01/11/2004,80.3758
01/12/2004,110.021
01/01/2005,146.7635
01/02/2005,205.2951
01/03/2005,330.7021
01/04/2005,410.6354
01/05/2005,230.3618
01/06/2005,220.2775
01/07/2005,65.2093
01/08/2005,67.5893
01/09/2005,496.2617
01/10/2005,96.3899
01/11/2005,386.0934
01/12/2005,410.5747
01/01/2006,370.8767
01/02/2006,398.411
01/03/2006,328.8134
01/04/2006,369.2961
01/05/2006,350.0295
01/06/2006,520.958
01/07/2006,110.0753
01/08/2006,146.4071
01/09/2006,186.0708
01/10/2006,108.9618
01/11/2006,216.0419
01/12/2006,336.4369
01/01/2007,266.9727
01/02/2007,344.8498
01/03/2007,320.2563
01/04/2007,472.7524
01/05/2007,527.0849
01/06/2007,148.7664
01/07/2007,86.1094
01/08/2007,226.1082
01/09/2007,90.4405
01/10/2007,108.5161
01/11/2007,168.1962
01/12/2007,198.4529
01/01/2008,168.9875
01/02/2008,430.4605
01/03/2008,310.9406
01/04/2008,310.1121
01/05/2008,302.8951
01/06/2008,96.1778
01/07/2008,98.7277
01/08/2008,69.8555
01/09/2008,45.8471
01/10/2008,630.875
01/11/2008,480.8244
01/12/2008,418.6008
01/01/2009,110.5069
01/02/2009,89.4503
01/03/2009,309.1598
01/04/2009,372.7451
01/05/2009,538.5873
01/06/2009,98.8099
01/07/2009,88.8134
01/08/2009,272.0249
01/09/2009,112.1965
01/10/2009,285.4825
01/11/2009,120.8391
01/12/2009,253.382
01/01/2010,523.3939
01/02/2010,630.7113
01/03/2010,930.2106
01/04/2010,876.3243
01/05/2010,480.1642
01/06/2010,18.9246
01/07/2010,96.0952
01/08/2010,86.9182
01/09/2010,90.6763
01/10/2010,98.4098
01/11/2010,150.7075
01/12/2010,280.2148
01/01/2011,324.4006
01/02/2011,265.6485
01/03/2011,268.2971
01/04/2011,362.4944
01/05/2011,324.4819
01/06/2011,172.3929
01/07/2011,558.2293
01/08/2011,137.7021
01/09/2011,720.9346
01/10/2011,1258.2249
01/11/2011,192.156065
01/12/2011,358.3416
01/01/2012,160.2633
01/02/2012,302.561
01/03/2012,318.2317
01/04/2012,570.5274
01/05/2012,266.8308
01/06/2012,230.4819
01/07/2012,142.3634
01/08/2012,101.2287
01/09/2012,128.5907
01/10/2012,179.9516
01/11/2012,98.8486
01/12/2012,138.2556
01/01/2013,190.6667
01/02/2013,183.9919
01/03/2013,179.0346
01/04/2013,208.759
01/05/2013,228.048
01/06/2013,220.2232
01/07/2013,198.3935
01/08/2013,187.8964
01/09/2013,120.6017
01/10/2013,100.9905
01/11/2013,201.138
01/12/2013,213.1699
01/01/2014,209.4298
01/02/2014,191.3381
01/03/2014,175.0432
01/04/2014,205.6733
01/05/2014,276.8577
01/06/2014,254.6845
01/07/2014,241.0999
01/08/2014,221.751
01/09/2014,199.0899
01/10/2014,191.8734
01/11/2014,228.3353
01/12/2014,268.0424
01/01/2015,283.6058
01/02/2015,279.2627
01/03/2015,269.8214
01/04/2015,378.7767
01/05/2015,398.1559
01/06/2015,313.993
01/07/2015,283.9774
01/08/2015,262.7065
01/09/2015,187.7194
01/10/2015,98.1384
01/11/2015,211.1464
01/12/2015,301.5205
01/01/2016,348.3605
01/02/2016,356.4915
01/03/2016,348.1266
01/04/2016,368.5433
01/05/2016,228.9461
01/06/2016,309.8559
01/07/2016,183.3368
01/08/2016,169.6861
01/09/2016,168.4673
01/10/2016,165.1755
01/11/2016,178.238
01/12/2016,181.7021
01/01/2017,170.965
01/02/2017,268.2981
01/03/2017,206.9728
01/04/2017,289.7647
01/05/2017,270.9201
01/06/2017,279.3639
01/07/2017,265.0597
01/08/2017,159.4797
01/09/2017,120.3273
01/10/2017,148.7659
01/11/2017,156.4484
01/12/2017,216.7616
01/01/2018,222.4843
01/02/2018,307.7484
01/03/2018,300.9975
01/04/2018,316.8811
01/05/2018,376.1186
01/06/2018,236.8572
01/07/2018,224.1407
01/08/2018,210.7793
01/09/2018,106.8376
01/10/2018,179.6473
01/11/2018,248.2721
01/12/2018,308.5025
