Date,Flow_m3/s
01/01/1998,14.12885766
01/02/1998,8.404717852
01/03/1998,4.299708973
01/04/1998,5.688180693
01/05/1998,12.59680204
01/06/1998,6.948817873
01/07/1998,3.444900992
01/08/1998,8.38205995
01/09/1998,2.004621127
01/10/1998,2.282308572
01/11/1998,1.987713975
01/12/1998,1.924711711
01/01/1999,5.495619035
01/02/1999,3.08521216
01/03/1999,2.622443323
01/04/1999,3.340633384
01/05/1999,6.352165357
01/06/1999,6.08892851
01/07/1999,3.133512153
01/08/1999,1.909682234
01/09/1999,1.488574456
01/10/1999,2.246457219
01/11/1999,2.608628721
01/12/1999,5.396177689
01/01/2000,5.135585901
01/02/2000,3.440872692
01/03/2000,4.713332457
01/04/2000,2.206451056
01/05/2000,2.783328453
01/06/2000,2.152508417
01/07/2000,3.224977438
01/08/2000,1.013583529
01/09/2000,0.853954207
01/10/2000,0.769125995
01/11/2000,1.665670838
01/12/2000,1.611778672
01/01/2001,2.895327733
01/02/2001,3.548915794
01/03/2001,2.87064432
01/04/2001,3.621236795
01/05/2001,6.956098933
01/06/2001,3.928341304
01/07/2001,2.081403462
01/08/2001,6.323395222
01/09/2001,1.186938353
01/10/2001,1.382348919
01/11/2001,1.98822787
01/12/2001,5.208280033
01/01/2002,5.532451651
01/02/2002,3.12884807
01/03/2002,3.185121223
01/04/2002,10.98348893
01/05/2002,16.05576736
01/06/2002,4.815267003
01/07/2002,2.790804882
01/08/2002,1.736478186
01/09/2002,1.491384622
01/10/2002,1.276226775
01/11/2002,8.248285592
01/12/2002,5.918846838
01/01/2003,6.018062443
01/02/2003,3.525246853
01/03/2003,2.541691223
01/04/2003,4.08966479
01/05/2003,4.544870047
01/06/2003,2.364639062
01/07/2003,8.776907521
01/08/2003,3.085560501
01/09/2003,1.683788765
01/10/2003,2.553583406
01/11/2003,8.342946635
01/12/2003,9.617120923
01/01/2004,7.720546546
01/02/2004,2.243356779
01/03/2004,10.57045969
01/04/2004,11.62541964
01/05/2004,9.748533716
01/06/2004,6.263227621
01/07/2004,6.871583566
01/08/2004,6.264901409
01/09/2004,1.967256701
01/10/2004,3.740840837
01/11/2004,7.829829636
01/12/2004,2.131698397
01/01/2005,0.931395497
01/02/2005,0.820304746
01/03/2005,0.671798273
01/04/2005,0.807813246
01/05/2005,0.988332876
01/06/2005,0.587073631
01/07/2005,0.374920956
01/08/2005,0.268235053
01/09/2005,0.368069246
01/10/2005,0.941745023
01/11/2005,1.033105099
01/12/2005,0.414765717
01/01/2006,0.028023228
01/02/2006,0.00755844
01/03/2006,0.008733151
01/04/2006,0.122656812
01/05/2006,0.52612608
01/06/2006,0.718392791
01/07/2006,0.305411174
01/08/2006,0.184633957
01/09/2006,0.014084835
01/10/2006,0.00755844
01/11/2006,0.504828898
01/12/2006,1.645693063
01/01/2007,2.622821738
01/02/2007,2.644680394
01/03/2007,1.782627378
01/04/2007,1.473619756
01/05/2007,1.743038508
01/06/2007,1.544732077
01/07/2007,0.885945723
01/08/2007,0.629338864
01/09/2007,0.829089862
01/10/2007,1.506011837
01/11/2007,1.358976566
01/12/2007,4.285257686
01/01/2008,3.222054546
01/02/2008,2.73645643
01/03/2008,2.217200313
01/04/2008,3.530738308
01/05/2008,4.384466797
01/06/2008,4.446268304
01/07/2008,2.697290109
01/08/2008,1.900042155
01/09/2008,1.603072868
01/10/2008,1.654640754
01/11/2008,2.154485628
01/12/2008,3.00817025
