Date,Flow_m3/s
01/01/2003,8.235
01/02/2003,6.09
01/03/2003,4.515
01/04/2003,7.665
01/05/2003,14.7475
01/06/2003,12.5
01/07/2003,11.2
01/08/2003,7.0925
01/09/2003,7.4775
01/10/2003,6.5875
01/11/2003,5.65
01/12/2003,5.0675
01/01/2004,5.5725
01/02/2004,5.0075
01/03/2004,7.3525
01/04/2004,11.8925
01/05/2004,14.8825
01/06/2004,10.01
01/07/2004,6.36
01/08/2004,5.085
01/09/2004,6.7425
01/10/2004,6.5975
01/11/2004,7.405
01/12/2004,6.86
01/01/2005,6.6475
01/02/2005,6.0525
01/03/2005,6.8425
01/04/2005,9.52
01/05/2005,15.89
01/06/2005,14.3525
01/07/2005,7.1675
01/08/2005,4.9275
01/09/2005,5.1725
01/10/2005,3.49
01/11/2005,4.9975
01/12/2005,3.8625
01/01/2006,2.5875
01/02/2006,1.3675
01/03/2006,5.88
01/04/2006,11.3325
01/05/2006,18.83
01/06/2006,14.395
01/07/2006,8.7525
01/08/2006,6.1475
01/09/2006,5.2525
01/10/2006,4.8475
01/11/2006,9.96
01/12/2006,16.0125
01/01/2007,16.12
01/02/2007,15.135
01/03/2007,12.92
01/04/2007,9.665
01/05/2007,13.5975
01/06/2007,10.59
01/07/2007,7.9775
01/08/2007,6.0575
01/09/2007,8.5925
01/10/2007,6.065
01/11/2007,4.4175
01/12/2007,5.62
01/01/2008,3.445
01/02/2008,3.3375
01/03/2008,4.8325
01/04/2008,8.91
01/05/2008,12.0025
01/06/2008,9.755
01/07/2008,6.46
01/08/2008,4.47
01/09/2008,5.455
01/10/2008,5.495
01/11/2008,7.795
01/12/2008,7.805
01/01/2009,4.635
01/02/2009,3.5425
01/03/2009,2.7675
01/04/2009,5.7625
01/05/2009,11.07
01/06/2009,10.405
01/07/2009,7.3925
01/08/2009,5.33
01/09/2009,7.055
01/10/2009,6.04
01/11/2009,8.64
01/12/2009,6.23
01/01/2010,9.815
01/02/2010,9.75
01/03/2010,11.8475
01/04/2010,15.0625
01/05/2010,23.0325
01/06/2010,15.1725
01/07/2010,10.025
01/08/2010,9.14
01/09/2010,7.23
01/10/2010,6.04
01/11/2010,6.4875
01/12/2010,6.6825
01/01/2011,6.145
01/02/2011,5.28
01/03/2011,4.56
01/04/2011,6.0225
01/05/2011,14.0475
01/06/2011,10.4175
01/07/2011,8.03
01/08/2011,7.6875
01/09/2011,8.0125
01/10/2011,9.08
01/11/2011,12.3725
01/12/2011,14.21
01/01/2012,7.9775
01/02/2012,3.42
01/03/2012,4.2025
01/04/2012,10.2425
01/05/2012,16.3
01/06/2012,15.2275
01/07/2012,11.58
01/08/2012,10.49
01/09/2012,11.2925
01/10/2012,7.925
01/11/2012,11.44
01/12/2012,11.59
01/01/2013,9.045
01/02/2013,6.905
01/03/2013,7.0175
01/04/2013,16.965
01/05/2013,19.5275
01/06/2013,12.2425
01/07/2013,9.1875
01/08/2013,4.9875
01/09/2013,4.645
01/10/2013,6.4675
01/11/2013,5.32
01/12/2013,8.655
01/01/2014,7.785
01/02/2014,8.18
01/03/2014,9.18
01/04/2014,8.695
01/05/2014,10.4125
01/06/2014,8.98
01/07/2014,6.7275
01/08/2014,6.61
01/09/2014,8.115
01/10/2014,6.46
01/11/2014,5.73
01/12/2014,7.3725
01/01/2015,3.0324
01/02/2015,1.29402
01/03/2015,1.27554
01/04/2015,9.4794
01/05/2015,16.6236
01/06/2015,14.9478
01/07/2015,11.382
01/08/2015,5.6826
01/09/2015,5.0001
01/10/2015,3.5994
01/11/2015,7.056
01/12/2015,10.2417
01/01/2016,8.8515
01/02/2016,6.594
01/03/2016,6.3819
01/04/2016,9.6264
01/05/2016,18.9819
01/06/2016,12.2094
01/07/2016,7.7784
01/08/2016,4.8447
01/09/2016,3.8346
01/10/2016,4.3974
01/11/2016,5.271
01/12/2016,5.2185
01/01/2017,3.5343
01/02/2017,2.7657
01/03/2017,2.07522
01/04/2017,4.5381
01/05/2017,11.676
01/06/2017,9.7188
01/07/2017,8.0241
01/08/2017,5.5167
01/09/2017,6.6045
01/10/2017,6.6885
01/11/2017,7.8246
01/12/2017,7.1358
01/01/2018,4.6494
01/02/2018,2.7426
01/03/2018,7.5201
01/04/2018,14.6454
01/05/2018,17.4405
01/06/2018,14.8071
01/07/2018,9.5592
01/08/2018,7.4802
01/09/2018,6.2307
01/10/2018,4.6914
01/11/2018,6.3651
01/12/2018,8.5029
01/01/2019,4.8867
01/02/2019,2.7216
01/03/2019,2.4885
01/04/2019,5.9787
01/05/2019,8.3727
01/06/2019,11.3001
01/07/2019,8.2971
01/08/2019,5.7687
01/09/2019,6.7116
01/10/2019,7.0875
01/11/2019,10.0548
01/12/2019,17.4867
01/01/2020,16.8378
01/02/2020,13.482
01/03/2020,17.7996
01/04/2020,18.3834
01/05/2020,19.0596
01/06/2020,14.3934
01/07/2020,9.4899
01/08/2020,5.9976
01/09/2020,6.6045
01/10/2020,6.5919
01/11/2020,15.9033
01/12/2020,11.6928
01/01/2021,10.0779
01/02/2021,7.8267
01/03/2021,6.867
01/04/2021,12.9003
01/05/2021,16.884
01/06/2021,11.5206
01/07/2021,9.4038
01/08/2021,6.9573
01/09/2021,8.5512
01/10/2021,6.9258
01/11/2021,6.3231
01/12/2021,5.0526
01/01/2022,7.497
01/02/2022,13.3371
01/03/2022,11.1846
01/04/2022,11.3925
01/05/2022,16.6194
01/06/2022,12.2304
01/07/2022,8.1816
01/08/2022,7.9779
01/09/2022,7.8204
01/10/2022,6.9006
01/11/2022,9.6075
01/12/2022,14.6265
01/01/2023,9.8952
01/02/2023,5.8884
01/03/2023,5.586
01/04/2023,10.8528
01/05/2023,14.7441
01/06/2023,12.0603
01/07/2023,8.6961
01/08/2023,5.0736
01/09/2023,7.0392
01/10/2023,7.4088
01/11/2023,9.8763
01/12/2023,11.8923
