Date,Flow_m3/s
01/01/2003,9.8
01/02/2003,8.3706
01/03/2003,6.9244
01/04/2003,6.4974
01/05/2003,11.039
01/06/2003,8.8802
01/07/2003,4.1594
01/08/2003,1.5456
01/09/2003,2.177
01/10/2003,1.8984
01/11/2003,0.71862
01/12/2003,2.4234
01/01/2004,4.5178
01/02/2004,5.5454
01/03/2004,7.9926
01/04/2004,10.6708
01/05/2004,13.4736
01/06/2004,9.352
01/07/2004,4.7054
01/08/2004,1.4406
01/09/2004,0.39886
01/10/2004,1.5722
01/11/2004,3.0758
01/12/2004,5.5734
01/01/2005,12.5272
01/02/2005,12.4922
01/03/2005,14.35
01/04/2005,10.7366
01/05/2005,9.6292
01/06/2005,8.1088
01/07/2005,4.6662
01/08/2005,1.35114
01/09/2005,0.35308
01/10/2005,0.124558
01/11/2005,0.78862
01/12/2005,2.6334
01/01/2006,3.9676
01/02/2006,2.485
01/03/2006,9.3492
01/04/2006,9.198
01/05/2006,11.6158
01/06/2006,10.1486
01/07/2006,5.2514
01/08/2006,2.0286
01/09/2006,0.65464
01/10/2006,0.096236
01/11/2006,5.5062
01/12/2006,11.3778
01/01/2007,12.5832
01/02/2007,14.042
01/03/2007,11.3988
01/04/2007,10.5126
01/05/2007,9.065
01/06/2007,6.5828
01/07/2007,4.1342
01/08/2007,1.5274
01/09/2007,2.2302
01/10/2007,1.8774
01/11/2007,2.2764
01/12/2007,5.285
01/01/2008,5.054
01/02/2008,6.1544
01/03/2008,12.9024
01/04/2008,12.2038
01/05/2008,11.0838
01/06/2008,6.8026
01/07/2008,3.2298
01/08/2008,1.19882
01/09/2008,1.5204
01/10/2008,3.2746
01/11/2008,6.545
01/12/2008,7.4326
01/01/2009,5.2906
01/02/2009,4.1118
01/03/2009,6.608
01/04/2009,8.6982
01/05/2009,13.3336
01/06/2009,12.1282
01/07/2009,7.1274
01/08/2009,2.6656
01/09/2009,0.66248
01/10/2009,0.66248
01/11/2009,3.8962
01/12/2009,11.3148
01/01/2010,13.1068
01/02/2010,12.6966
01/03/2010,13.7074
01/04/2010,18.34
01/05/2010,16.24
01/06/2010,10.8542
01/07/2010,5.4418
01/08/2010,1.7962
01/09/2010,1.5064
01/10/2010,1.869
01/11/2010,3.857
01/12/2010,5.4082
01/01/2011,6.5212
01/02/2011,7.8386
01/03/2011,12.957
01/04/2011,15.876
01/05/2011,10.6176
01/06/2011,7.2366
01/07/2011,4.893
01/08/2011,5.2136
01/09/2011,4.9966
01/10/2011,5.1968
01/11/2011,17.528
01/12/2011,17.15
01/01/2012,12.0736
01/02/2012,7.2128
01/03/2012,6.9356
01/04/2012,6.5744
01/05/2012,9.2792
01/06/2012,8.477
01/07/2012,3.892
01/08/2012,1.12574
01/09/2012,1.7878
01/10/2012,1.7626
01/11/2012,4.6802
01/12/2012,5.6294
01/01/2013,7.3192
01/02/2013,6.0956
01/03/2013,6.0298
01/04/2013,16.31
01/05/2013,15.834
01/06/2013,9.3744
01/07/2013,4.508
01/08/2013,0.85232
01/09/2013,0.49322
01/10/2013,2.1756
01/11/2013,2.5928
01/12/2013,6.0844
01/01/2014,8.5526
01/02/2014,10.5756
01/03/2014,13.7298
01/04/2014,11.9112
01/05/2014,7.5264
01/06/2014,4.4856
01/07/2014,1.729
01/08/2014,2.7986
01/09/2014,4.4968
01/10/2014,4.4464
01/11/2014,4.3736
01/12/2014,6.1754
