Date,Flow_m3/s
01/01/2003,133.77
01/02/2003,79.8
01/03/2003,52.759
01/04/2003,39.053
01/05/2003,38.437
01/06/2003,33.649
01/07/2003,16.177
01/08/2003,6.7445
01/09/2003,3.2809
01/10/2003,1.9516
01/11/2003,9.499
01/12/2003,67.221
01/01/2004,50.61
01/02/2004,46.221
01/03/2004,37.121
01/04/2004,49.56
01/05/2004,58.45
01/06/2004,36.12
01/07/2004,13.125
01/08/2004,1.5309
01/09/2004,8.435
01/10/2004,12.698
01/11/2004,38.724
01/12/2004,77.35
01/01/2005,64.561
01/02/2005,42.525
01/03/2005,58.52
01/04/2005,36.519
01/05/2005,73.22
01/06/2005,46.501
01/07/2005,26.404
01/08/2005,10.185
01/09/2005,4.4366
01/10/2005,8.561
01/11/2005,31.192
01/12/2005,14.133
01/01/2006,10.64
01/02/2006,10.857
01/03/2006,54.124
01/04/2006,117.95
01/05/2006,103.6
01/06/2006,68.096
01/07/2006,33.103
01/08/2006,14.182
01/09/2006,4.5528
01/10/2006,11.984
01/11/2006,145.39
01/12/2006,214.62
01/01/2007,229.67
01/02/2007,213.36
01/03/2007,125.3
01/04/2007,99.05
01/05/2007,65.709
01/06/2007,53.487
01/07/2007,33.887
01/08/2007,21.336
01/09/2007,33.481
01/10/2007,31.752
01/11/2007,39.984
01/12/2007,72.94
01/01/2008,61.516
01/02/2008,56.427
01/03/2008,81.06
01/04/2008,76.23
01/05/2008,44.226
01/06/2008,21.546
01/07/2008,7.105
01/08/2008,0.9023
01/09/2008,15.582
01/10/2008,109.06
01/11/2008,95.9
01/12/2008,66.465
01/01/2009,63.196
01/02/2009,41.65
01/03/2009,26.803
01/04/2009,66.927
01/05/2009,51.079
01/06/2009,30.653
01/07/2009,15.547
01/08/2009,3.6414
01/09/2009,1.981
01/10/2009,7.791
01/11/2009,40.887
01/12/2009,100.94
01/01/2010,130.13
01/02/2010,177.8
01/03/2010,183.12
01/04/2010,122.01
01/05/2010,151.69
01/06/2010,60.438
01/07/2010,23.492
01/08/2010,6.3784
01/09/2010,7.77
01/10/2010,19.831
01/11/2010,28.483
01/12/2010,60.718
01/01/2011,57.477
01/02/2011,37.408
01/03/2011,42.427
01/04/2011,33.628
01/05/2011,48.174
01/06/2011,37.59
01/07/2011,24.087
01/08/2011,38.43
01/09/2011,69.706
01/10/2011,102.41
01/11/2011,178.85
01/12/2011,221.83
01/01/2012,127.54
01/02/2012,70.21
01/03/2012,33.152
01/04/2012,95.2
01/05/2012,131.04
01/06/2012,89.04
01/07/2012,53.697
01/08/2012,35.091
01/09/2012,32.018
01/10/2012,49.245
01/11/2012,92.96
01/12/2012,135.94
01/01/2013,133.7
01/02/2013,92.05
01/03/2013,82.53
01/04/2013,137.27
01/05/2013,121.45
01/06/2013,72.66
01/07/2013,26.971
01/08/2013,15.323
01/09/2013,10.773
01/10/2013,12.327
01/11/2013,38.941
01/12/2013,91.07
01/01/2014,87.92
01/02/2014,60.963
01/03/2014,59.878
01/04/2014,44.009
01/05/2014,26.187
01/06/2014,22.722
01/07/2014,9.282
01/08/2014,6.4204
01/09/2014,23.422
01/10/2014,53.634
01/11/2014,62.699
01/12/2014,83.3
01/01/2015,58.4353
01/02/2015,30.9463
01/03/2015,34.9734
01/04/2015,187.803
01/05/2015,137.83
01/06/2015,96.866
01/07/2015,55.209
01/08/2015,21.4368
01/09/2015,3.88311
01/10/2015,23.9393
01/11/2015,178.948
01/12/2015,195.041
01/01/2016,159.313
01/02/2016,102.025
01/03/2016,65.0804
01/04/2016,93.632
01/05/2016,87.857
01/06/2016,60.3295
01/07/2016,27.9664
01/08/2016,6.25009
01/09/2016,16.6243
01/10/2016,9.7328
01/11/2016,17.4174
01/12/2016,19.3116
01/01/2017,14.3297
01/02/2017,11.242
01/03/2017,12.0505
01/04/2017,13.167
01/05/2017,4.16724
01/06/2017,1.49072
01/07/2017,0.091322
01/08/2017,0.049049
01/09/2017,5.44236
01/10/2017,24.6092
01/11/2017,49.9191
01/12/2017,41.7186
01/01/2018,38.6309
01/02/2018,26.873
01/03/2018,85.778
01/04/2018,136.136
01/05/2018,143.99
01/06/2018,109.109
01/07/2018,54.131
01/08/2018,36.7829
01/09/2018,19.4656
01/10/2018,26.6343
01/11/2018,22.2376
01/12/2018,101.64
01/01/2019,67.4058
01/02/2019,49.2569
01/03/2019,18.0257
01/04/2019,29.0829
01/05/2019,35.2044
01/06/2019,62.1159
01/07/2019,46.4002
01/08/2019,36.6135
01/09/2019,50.4504
01/10/2019,122.43
01/11/2019,181.104
01/12/2019,213.059
01/01/2020,226.688
01/02/2020,170.17
01/03/2020,181.797
01/04/2020,183.029
01/05/2020,155.617
01/06/2020,95.557
01/07/2020,35.8589
01/08/2020,8.7934
01/09/2020,11.088
01/10/2020,15.1382
01/11/2020,123.97
01/12/2020,90.398
01/01/2021,105.413
01/02/2021,86.317
01/03/2021,53.5381
01/04/2021,60.4758
01/05/2021,73.073
01/06/2021,50.6121
01/07/2021,19.481
01/08/2021,17.8948
01/09/2021,18.2567
01/10/2021,5.52244
01/11/2021,10.8416
01/12/2021,22.6226
01/01/2022,52.8143
01/02/2022,59.3978
01/03/2022,44.2057
01/04/2022,32.1398
01/05/2022,25.2714
01/06/2022,14.8687
01/07/2022,7.57141
01/08/2022,3.32178
01/09/2022,10.2872
01/10/2022,6.7452
01/11/2022,30.4612
01/12/2022,49.3031
01/01/2023,48.8565
01/02/2023,34.9118
01/03/2023,62.6934
01/04/2023,115.192
01/05/2023,70.4704
01/06/2023,40.2248
01/07/2023,8.9474
01/08/2023,0.91168
01/09/2023,2.82205
01/10/2023,2.0867
01/11/2023,59.7982
01/12/2023,61.6
