Date,Flow_m3/s
01/01/2003,9.3279
01/02/2003,6.766
01/03/2003,4.182
01/04/2003,3.961
01/05/2003,4.5866
01/06/2003,3.3252
01/07/2003,0.93466
01/08/2003,0.166957
01/09/2003,0.07072
01/10/2003,0.051102
01/11/2003,0.37876
01/12/2003,6.0843
01/01/2004,6.1795
01/02/2004,5.4264
01/03/2004,5.0983
01/04/2004,5.0405
01/05/2004,5.0762
01/06/2004,3.349
01/07/2004,0.6953
01/08/2004,0.20383
01/09/2004,0.089862
01/10/2004,0.15181
01/11/2004,2.0519
01/12/2004,7.1638
01/01/2005,7.9815
01/02/2005,6.6164
01/03/2005,5.7256
01/04/2005,4.1769
01/05/2005,3.7842
01/06/2005,3.0583
01/07/2005,0.92327
01/08/2005,0.39899
01/09/2005,0.74477
01/10/2005,0.83113
01/11/2005,2.6435
01/12/2005,2.2083
01/01/2006,1.19255
01/02/2006,0.50966
01/03/2006,3.9015
01/04/2006,6.341
01/05/2006,6.528
01/06/2006,4.4812
01/07/2006,1.9856
01/08/2006,0.25194
01/09/2006,0.095183
01/10/2006,0.3519
01/11/2006,5.1272
01/12/2006,14.0692
01/01/2007,15.6298
01/02/2007,15.5261
01/03/2007,10.2068
01/04/2007,6.6657
01/05/2007,4.9691
01/06/2007,3.1603
01/07/2007,1.21839
01/08/2007,0.55811
01/09/2007,1.28214
01/10/2007,1.47118
01/11/2007,1.58185
01/12/2007,6.1064
01/01/2008,6.6198
01/02/2008,6.8204
01/03/2008,6.1948
01/04/2008,6.9496
01/05/2008,5.5386
01/06/2008,2.7506
01/07/2008,0.42908
01/08/2008,0.138686
01/09/2008,0.15623
01/10/2008,2.1301
01/11/2008,4.7804
01/12/2008,5.6508
01/01/2009,5.5318
01/02/2009,7.106
01/03/2009,6.2373
01/04/2009,19.907
01/05/2009,8.2348
01/06/2009,4.9844
01/07/2009,1.7748
01/08/2009,0.27778
01/09/2009,0.138193
01/10/2009,0.40647
01/11/2009,3.4051
01/12/2009,10.2255
01/01/2010,12.019
01/02/2010,13.7768
01/03/2010,13.6527
01/04/2010,11.0585
01/05/2010,16.8793
01/06/2010,6.2696
01/07/2010,2.6673
01/08/2010,0.39967
01/09/2010,0.26945
01/10/2010,0.27183
01/11/2010,1.24491
01/12/2010,4.5526
01/01/2011,5.9823
01/02/2011,5.2462
01/03/2011,4.505
01/04/2011,5.5896
01/05/2011,6.2254
01/06/2011,4.7413
01/07/2011,2.0638
01/08/2011,1.25528
01/09/2011,2.0264
01/10/2011,4.0341
01/11/2011,9.8209
01/12/2011,13.8074
01/01/2012,12.0547
01/02/2012,7.7775
01/03/2012,6.5807
01/04/2012,8.1719
01/05/2012,7.8727
01/06/2012,6.3597
01/07/2012,2.6605
01/08/2012,0.89233
01/09/2012,2.4089
01/10/2012,3.3643
01/11/2012,6.5195
01/12/2012,11.186
01/01/2013,11.5872
01/02/2013,10.0368
01/03/2013,7.2709
01/04/2013,8.33
01/05/2013,8.1549
01/06/2013,5.0932
01/07/2013,1.40964
01/08/2013,0.34748
01/09/2013,0.38777
01/10/2013,0.7089
01/11/2013,2.7081
01/12/2013,7.3627
01/01/2014,7.0805
01/02/2014,5.6644
01/03/2014,4.4268
01/04/2014,5.6066
01/05/2014,5.3584
01/06/2014,3.3133
01/07/2014,0.71536
01/08/2014,0.22525
01/09/2014,1.5181
01/10/2014,2.7489
01/11/2014,4.6053
01/12/2014,6.2288
01/01/2015,5.9926
01/02/2015,3.6195
01/03/2015,2.5099
01/04/2015,9.1922
01/05/2015,9.4563
01/06/2015,6.6709
01/07/2015,3.4713
01/08/2015,0.47633
01/09/2015,0.14915
01/10/2015,0.5833
01/11/2015,8.1187
01/12/2015,12.6844
01/01/2016,12.9276
01/02/2016,9.4373
01/03/2016,5.1908
01/04/2016,5.8045
01/05/2016,6.2434
01/06/2016,4.2541
01/07/2016,1.20821
01/08/2016,0.21888
01/09/2016,0.111891
01/10/2016,0.83144
01/11/2016,1.13012
01/12/2016,2.7208
01/01/2017,2.3674
01/02/2017,2.2344
01/03/2017,3.0704
01/04/2017,3.4162
01/05/2017,2.6429
01/06/2017,0.76608
01/07/2017,0.141151
01/08/2017,0.104747
01/09/2017,0.186884
01/10/2017,1.36743
01/11/2017,4.9419
01/12/2017,5.6753
01/01/2018,4.8849
01/02/2018,3.7107
01/03/2018,6.4315
01/04/2018,9.7432
01/05/2018,9.3252
01/06/2018,6.4334
01/07/2018,2.9013
01/08/2018,0.59755
01/09/2018,0.32965
01/10/2018,1.00852
01/11/2018,1.83901
01/12/2018,6.9939
01/01/2019,7.4195
01/02/2019,5.5765
01/03/2019,3.7088
01/04/2019,2.9127
01/05/2019,4.9058
01/06/2019,6.1503
01/07/2019,4.7215
01/08/2019,1.61633
01/09/2019,0.77919
01/10/2019,5.1813
01/11/2019,17.955
