Date,Flow_m3/s
01/01/2001,17.8047
01/02/2001,5.767
01/03/2001,6.8037
01/04/2001,19.8665
01/05/2001,11.6496
01/06/2001,4.0175
01/07/2001,2.6991
01/08/2001,3.0643
01/09/2001,7.3451
01/10/2001,31.1006
01/11/2001,54.2021
01/12/2001,29.4792
01/01/2002,11.1557
01/02/2002,5.4914
01/03/2002,8.0366
01/04/2002,9.2909
01/05/2002,42.1892
01/06/2002,5.9158
01/07/2002,3.0035
01/08/2002,2.1972
01/09/2002,2.5684
01/10/2002,5.7769
01/11/2002,9.2256
01/12/2002,30.821
01/01/2003,6.4647
01/02/2003,3.7009
01/03/2003,3.1173
01/04/2003,43.3075
01/05/2003,5.4707
01/06/2003,4.2119
01/07/2003,2.7183
01/08/2003,5.2547
01/09/2003,10.6707
01/10/2003,6.1605
01/11/2003,13.0242
01/12/2003,5.6134
01/01/2004,3.7543
01/02/2004,4.756
01/03/2004,8.4654
01/04/2004,11.027
01/05/2004,3.3579
01/06/2004,1.7755
01/07/2004,1.7626
01/08/2004,2.5325
01/09/2004,3.679
01/10/2004,6.6534
01/11/2004,13.7945
01/12/2004,9.0367
01/01/2005,3.107
01/02/2005,2.134
01/03/2005,2.741
01/04/2005,5.93
01/05/2005,9.4834
01/06/2005,12.0556
01/07/2005,1.8881
01/08/2005,2.9672
01/09/2005,15.904
01/10/2005,11.3938
01/11/2005,3.7632
01/12/2005,6.4309
01/01/2006,1.9882
01/02/2006,2.5878
01/03/2006,8.0515
01/04/2006,7.183
01/05/2006,3.3724
01/06/2006,1.9943
01/07/2006,2.3957
01/08/2006,2.4192
01/09/2006,2.3911
01/10/2006,9.0548
01/11/2006,21.9294
01/01/2007,8.7861823
01/02/2007,4.703883426
01/03/2007,3.709614541
01/04/2007,5.345399714
01/05/2007,5.367949759
01/06/2007,8.918444695
01/07/2007,3.219351992
01/08/2007,3.614915412
01/09/2007,18.42613553
01/10/2007,14.3595807
01/11/2007,30.080534
01/12/2007,21.7298517
01/01/2008,8.057637455
01/02/2008,5.267087369
01/03/2008,17.53957341
01/04/2008,19.87234318
01/05/2008,5.186925963
01/06/2008,4.86634345
01/07/2008,1.334962447
01/08/2008,3.387695573
01/09/2008,2.189768286
01/10/2008,1.53012122
01/11/2008,1.520571462
01/12/2008,1.829629993
01/01/2009,3.037967374
01/02/2009,7.101714162
01/03/2009,9.701246295
01/04/2009,14.60348167
01/05/2009,9.694132198
01/06/2009,21.678806
01/07/2009,30.34952889
01/08/2009,39.75587458
01/09/2009,7.621852836
01/10/2009,3.181877107
01/11/2009,1.850698913
01/12/2009,3.090583354
01/01/2010,7.152509767
01/02/2010,19.86136161
01/03/2010,11.85507807
01/04/2010,5.431547995
01/05/2010,3.197356527
01/06/2010,3.128849833
01/07/2010,4.497821851
01/08/2010,7.527634499
01/09/2010,4.190882339
01/10/2010,3.466889203
01/11/2010,3.669563331
01/12/2010,21.22520139
