Date,Flow_m3/s
01/01/2003,10.548
01/02/2003,9.192
01/03/2003,7.89
01/04/2003,9.342
01/05/2003,25.368
01/06/2003,27.336
01/07/2003,21.18
01/08/2003,21.006
01/09/2003,17.088
01/10/2003,20.832
01/11/2003,9.402
01/12/2003,4.4334
01/01/2004,4.0626
01/02/2004,5.6904
01/03/2004,6.93
01/04/2004,15.63
01/05/2004,28.944
01/06/2004,14.754
01/07/2004,6.096
01/08/2004,1.8384
01/09/2004,2.139
01/10/2004,5.1654
01/11/2004,3.6066
01/12/2004,5.3424
01/01/2005,5.9508
01/02/2005,5.424
01/03/2005,14.25
01/04/2005,6.336
01/05/2005,14.22
01/06/2005,15.96
01/07/2005,13.776
01/08/2005,17.16
01/09/2005,14.1
01/10/2005,15.618
01/11/2005,8.472
01/12/2005,3.4812
01/01/2006,1.0554
01/02/2006,1.326
01/03/2006,13.926
01/04/2006,14.184
01/05/2006,17.466
01/06/2006,14.238
01/07/2006,6.726
01/08/2006,10.644
01/09/2006,5.4678
01/10/2006,2.5638
01/11/2006,18.942
01/12/2006,11.226
01/01/2007,14.706
01/02/2007,16.614
01/03/2007,15.054
01/04/2007,14.7
01/05/2007,18.264
01/06/2007,20.43
01/07/2007,20.586
01/08/2007,20.37
01/09/2007,28.434
01/10/2007,22.11
01/11/2007,10.152
01/12/2007,5.1732
01/01/2008,2.0178
01/02/2008,2.298
01/03/2008,2.4456
01/04/2008,5.5944
01/05/2008,6.354
01/06/2008,9.978
01/07/2008,6.378
01/08/2008,6.39
01/09/2008,12.372
01/10/2008,15.084
01/11/2008,17.28
01/12/2008,11.01
01/01/2009,4.9338
01/02/2009,2.4408
01/03/2009,0.7842
01/04/2009,4.092
01/05/2009,15.342
01/06/2009,13.344
01/07/2009,8.406
01/08/2009,4.2966
01/09/2009,0.38382
01/10/2009,2.3136
01/11/2009,1.6644
01/12/2009,11.604
01/01/2010,16.38
01/02/2010,15.384
01/03/2010,21.39
01/04/2010,27.414
01/05/2010,32.976
01/06/2010,24.57
01/07/2010,16.248
01/08/2010,17.55
01/09/2010,23.832
01/10/2010,15.27
01/11/2010,10.62
01/12/2010,4.5582
01/01/2011,1.4094
01/02/2011,0.8028
01/03/2011,6.828
01/04/2011,6.96
01/05/2011,22.494
01/06/2011,13.212
01/07/2011,17.136
01/08/2011,28.908
01/09/2011,29.04
01/10/2011,25.818
01/11/2011,20.4
01/12/2011,15.972
01/01/2012,8.784
01/02/2012,2.7102
01/03/2012,5.0094
01/04/2012,9.36
01/05/2012,33.288
01/06/2012,27.33
01/07/2012,19.098
01/08/2012,19.704
01/09/2012,24.714
01/10/2012,17.646
01/11/2012,15.948
01/12/2012,12.126
01/01/2013,5.5824
01/02/2013,5.5566
01/03/2013,6.51
01/04/2013,18.282
01/05/2013,32.094
01/06/2013,24.408
01/07/2013,20.604
01/08/2013,21.03
01/09/2013,18.108
01/10/2013,17.676
01/11/2013,10.878
01/12/2013,5.9928
01/01/2014,6.3336
01/02/2014,6.44
01/03/2014,11.9616
01/04/2014,8.204
01/05/2014,11.1608
01/06/2014,8.4
01/07/2014,11.1328
01/08/2014,11.3904
01/09/2014,17.024
01/10/2014,11.0992
01/11/2014,4.4968
01/12/2014,8.4112
01/01/2015,3.19368
01/02/2015,1.0836
01/03/2015,4.41168
01/04/2015,5.33624
01/05/2015,20.0032
01/06/2015,14.1568
01/07/2015,9.9512
01/08/2015,5.5104
01/09/2015,1.36304
01/10/2015,1.39104
01/11/2015,13.188
01/12/2015,8.6632
01/01/2016,7.3136
01/02/2016,6.8712
01/03/2016,9.128
01/04/2016,10.472
01/05/2016,30.8616
01/06/2016,26.544
01/07/2016,16.6656
01/08/2016,11.5136
01/09/2016,8.2656
01/10/2016,10.1024
01/11/2016,5.59104
01/12/2016,4.49232
01/01/2017,1.61392
01/02/2017,2.48696
01/03/2017,2.7048
01/04/2017,5.39336
01/05/2017,12.1184
01/06/2017,5.6784
01/07/2017,10.7856
01/08/2017,20.5856
01/09/2017,23.2456
01/10/2017,20.1432
01/11/2017,17.3488
01/12/2017,11.0824
01/01/2018,4.26048
01/02/2018,2.33856
01/03/2018,10.8192
01/04/2018,27.5352
01/05/2018,51.2288
01/06/2018,58.744
01/07/2018,34.748
01/08/2018,21.5712
01/09/2018,20.4232
01/10/2018,8.7752
01/11/2018,2.0216
01/12/2018,5.01648
01/01/2019,3.7016
01/02/2019,3.29896
01/03/2019,2.52448
01/04/2019,4.39488
01/05/2019,15.3888
01/06/2019,15.736
01/07/2019,15.8592
01/08/2019,14.252
01/09/2019,19.9192
01/10/2019,19.9752
01/11/2019,18.648
01/12/2019,21.9688
01/01/2020,16.3632
01/02/2020,13.7592
01/03/2020,19.2808
01/04/2020,24.5336
01/05/2020,39.116
01/06/2020,31.2256
01/07/2020,30.3688
01/08/2020,20.6808
01/09/2020,22.8984
01/10/2020,12.264
01/11/2020,19.6224
01/12/2020,12.0624
