Date,Flow_m3/s
01/01/2002,3.661468178
01/02/2002,1.522365321
01/03/2002,5.375252815
01/04/2002,11.14119626
01/05/2002,27.24474756
01/06/2002,13.66696542
01/07/2002,5.505119745
01/08/2002,5.176140959
01/09/2002,3.120818062
01/10/2002,7.33507588
01/11/2002,13.48409243
01/12/2002,10.9881955
01/01/2003,11.20274349
01/02/2003,2.956142501
01/03/2003,2.456689426
01/04/2003,11.93916484
01/05/2003,27.72068652
01/06/2003,24.72910778
01/07/2003,23.62431793
01/08/2003,14.26936121
01/09/2003,12.10045365
01/10/2003,6.889329116
01/11/2003,7.890617971
01/12/2003,6.009852345
01/01/2004,4.035216241
01/02/2004,2.010762915
01/03/2004,2.10896932
01/04/2004,15.47210278
01/05/2004,16.00536823
01/06/2004,9.254900644
01/07/2004,5.115363274
01/08/2004,7.280862631
01/09/2004,11.77887224
01/10/2004,11.23922371
01/11/2004,22.54818854
01/12/2004,8.847430771
01/01/2005,3.264655581
01/02/2005,1.83164443
01/03/2005,6.276243294
01/04/2005,12.93492601
01/05/2005,27.13687347
01/06/2005,24.20094325
01/07/2005,12.7794985
01/08/2005,14.81811633
01/09/2005,11.51812263
01/10/2005,10.2935644
01/11/2005,13.64881419
01/12/2005,5.88605182
01/01/2006,1.666191298
01/02/2006,1.788910434
01/03/2006,4.924193972
01/04/2006,20.03807095
01/05/2006,26.42134477
01/06/2006,23.20950062
01/07/2006,11.24945529
01/08/2006,7.274675561
01/09/2006,8.109913707
01/10/2006,12.50211122
01/11/2006,18.116537
01/12/2006,27.80484124
01/01/2007,15.71138801
01/02/2007,9.838843686
01/03/2007,6.341622231
01/04/2007,10.22983812
01/05/2007,19.76811393
01/06/2007,21.6767602
01/07/2007,11.5763526
01/08/2007,13.7036554
01/09/2007,16.2275177
01/10/2007,16.86442406
01/11/2007,14.02239671
01/12/2007,4.350809605
01/01/2008,2.186323815
01/02/2008,2.211314352
01/03/2008,4.840330966
01/04/2008,16.9938152
01/05/2008,18.80646515
01/06/2008,23.79136327
01/07/2008,10.51665179
01/08/2008,11.66548251
01/09/2008,18.69055862
01/10/2008,22.91117734
01/11/2008,24.45327925
01/12/2008,7.859600761
01/01/2009,3.638684584
01/02/2009,2.483033229
01/03/2009,1.812275491
01/04/2009,16.22148298
01/05/2009,23.98234944
01/06/2009,15.46090461
01/07/2009,6.464161779
01/08/2009,7.097126359
01/09/2009,7.114436381
01/10/2009,9.414252306
01/11/2009,10.0512399
01/12/2009,9.40925053
01/01/2010,10.11518698
01/02/2010,4.215402922
01/03/2010,16.63080095
01/04/2010,20.03979959
01/05/2010,28.87389613
01/06/2010,20.628393
01/07/2010,10.60163795
01/08/2010,6.862673468
01/09/2010,9.545028315
01/10/2010,14.7740965
01/11/2010,13.46988583
01/12/2010,4.743829406
01/01/2011,2.111828076
01/02/2011,1.601409804
01/03/2011,4.034984747
01/04/2011,8.215482392
01/05/2011,20.52875878
01/06/2011,12.74456878
01/07/2011,6.150998862
01/08/2011,11.25626771
01/09/2011,18.30836492
01/10/2011,15.41441021
01/11/2011,28.22034593
01/12/2011,21.04858725
01/01/2012,5.077
01/02/2012,2.0079
01/03/2012,1.531
01/04/2012,12.8036
01/05/2012,26.3849
01/06/2012,22.8644
01/07/2012,17.2291
01/08/2012,12.4346
01/09/2012,16.0141
01/10/2012,17.4477
01/11/2012,20.8487
01/12/2012,19.2379
01/01/2013,14.8389
01/02/2013,4.4244
01/03/2013,5.6294
01/04/2013,28.803
01/05/2013,29.1099
01/06/2013,17.65
01/07/2013,7.0216
01/08/2013,7.4076
01/09/2013,7.1667
01/10/2013,9.6495
01/11/2013,16.5567
01/12/2013,8.6882
01/01/2014,5.1263
01/02/2014,2.1484
01/03/2014,5.2458
01/04/2014,17.2883
01/05/2014,24.1664
01/06/2014,18.3542
01/07/2014,8.2805
01/08/2014,11.5771
01/09/2014,17.8283
01/10/2014,20.3917
01/11/2014,18.8576
01/12/2014,14.0116
01/01/2015,2.697
01/02/2015,1.4845
01/03/2015,1.4287
01/04/2015,16.6981
01/05/2015,27.8639
01/06/2015,26.3193
01/07/2015,15.3069
01/08/2015,8.7326
01/09/2015,9.4658
01/10/2015,11.8645
01/11/2015,26.312
01/12/2015,23.6785
01/01/2016,12.0411
01/02/2016,4.5465
01/03/2016,2.1378
01/04/2016,17.4688
01/05/2016,23.2654
01/06/2016,10.1946
01/07/2016,4.3547
01/08/2016,5.6228
01/09/2016,5.1081
01/10/2016,6.7635
01/11/2016,7.0939
01/12/2016,2.2645
01/01/2017,0.8526
01/02/2017,2.1395
01/03/2017,3.4648
01/04/2017,5.2068
01/05/2017,17.3784
01/06/2017,8.1386
01/07/2017,4.1679
01/08/2017,5.228
01/09/2017,9.5381
01/10/2017,6.8293
01/11/2017,12.0734
01/12/2017,3.5742
01/01/2018,1.4454
01/02/2018,1.061
01/03/2018,10.6242
01/04/2018,23.7204
01/05/2018,25.7714
01/06/2018,21.0467
01/07/2018,12.8722
01/08/2018,5.299
01/09/2018,7.4314
01/10/2018,4.9958
01/11/2018,4.9685
01/12/2018,5.0422
