Date,Flow_m3/s
01/01/2003,25.2459792
01/02/2003,10.4955552
01/03/2003,16.532568
01/04/2003,40.766544
01/05/2003,42.548688
01/06/2003,27.9987552
01/07/2003,27.2063376
01/08/2003,26.3248128
01/09/2003,31.1429664
01/10/2003,21.9681072
01/11/2003,18.6424992
01/12/2003,35.929296
01/01/2004,25.8379056
01/02/2004,14.0630256
01/03/2004,20.3769072
01/04/2004,56.869488
01/05/2004,32.30136
01/06/2004,17.7705216
01/07/2004,11.4311808
01/08/2004,18.760248
01/09/2004,26.9740224
01/10/2004,22.6077696
01/11/2004,31.7794464
01/12/2004,34.306272
01/01/2005,21.3029856
01/02/2005,17.0449344
01/03/2005,27.1013184
01/04/2005,31.919472
01/05/2005,55.437408
01/06/2005,34.465392
01/07/2005,20.5232976
01/08/2005,19.842264
01/09/2005,11.8767168
01/10/2005,9.4962816
01/11/2005,14.1107616
01/12/2005,7.605936
01/01/2006,9.2576016
01/02/2006,4.4267184
01/03/2006,26.207064
01/04/2006,46.494864
01/05/2006,56.4876
01/06/2006,36.565776
01/07/2006,24.4822032
01/08/2006,15.8419872
01/09/2006,16.2493344
01/10/2006,16.5134736
01/11/2006,70.553808
01/12/2006,75.359232
01/01/2007,55.21464
01/02/2007,39.366288
01/03/2007,44.680896
01/04/2007,36.183888
01/05/2007,40.193712
01/06/2007,32.555952
01/07/2007,27.5468544
01/08/2007,27.2668032
01/09/2007,27.7250688
01/10/2007,20.04912
01/11/2007,17.996472
01/12/2007,20.574216
01/01/2008,8.337888
01/02/2008,8.5638384
01/03/2008,24.870456
01/04/2008,39.30264
01/05/2008,31.0856832
01/06/2008,29.5549488
01/07/2008,25.8188112
01/08/2008,24.7940784
01/09/2008,19.428552
01/10/2008,28.7338896
01/11/2008,35.292816
01/12/2008,17.901
01/01/2009,16.7044176
01/02/2009,13.3628976
01/03/2009,10.2250512
01/04/2009,32.93784
01/05/2009,37.043136
01/06/2009,17.9551008
01/07/2009,11.2084128
01/08/2009,13.6715904
01/09/2009,24.8099904
01/10/2009,15.3582624
01/11/2009,21.5321184
01/12/2009,43.185168
01/01/2010,67.8096
01/02/2010,47.1546
01/03/2010,74.358
01/04/2010,90.0252
01/05/2010,137.5776
01/06/2010,83.538
01/07/2010,58.5072
01/08/2010,51.69564
01/09/2010,54.47412
01/10/2010,47.7054
01/11/2010,48.62952
01/12/2010,63.4644
01/01/2011,43.20108
01/02/2011,25.34292
01/03/2011,33.1398
01/04/2011,36.15084
01/05/2011,67.932
01/06/2011,40.53276
01/07/2011,37.80324
01/08/2011,80.2332
01/09/2011,55.23912
01/10/2011,52.71156
01/11/2011,108.5688
01/12/2011,98.4096
01/01/2012,38.12148
01/02/2012,19.22904
01/03/2012,39.474
01/04/2012,135.3132
01/05/2012,105.3864
01/06/2012,104.652
01/07/2012,91.3104
01/08/2012,69.5232
01/09/2012,100.4292
01/10/2012,63.8316
01/11/2012,116.7084
01/12/2012,120.3804
01/01/2013,73.134
01/02/2013,56.10204
01/03/2013,72.5832
01/04/2013,170.9316
