Date,Flow_m3/s
01/01/1971,70.875
01/02/1971,66.72785714
01/03/1971,63.59774194
01/04/1971,77.014
01/05/1971,88.42193548
01/06/1971,84.15433333
01/07/1971,85.01967742
01/08/1971,97.30183333
01/09/1971,102.2384091
01/10/1971,91.9609
01/11/1971,176.2427
01/12/1971,158.7853
01/01/1972,168.2871
01/02/1972,140.0216
01/03/1972,65.28
01/04/1972,67.8428
01/05/1972,85.6742
01/06/1972,200.3682
01/07/1972,198.5677
01/08/1972,88.5944
01/09/1972,83.6293
01/10/1972,180.6545
01/11/1972,250.877
01/12/1972,320.5419
01/01/1973,80.589
01/02/1973,76.6609
01/03/1973,70.3685
01/04/1973,73.3013
01/05/1973,82.4616
01/06/1973,140.4323
01/07/1973,77.8111
01/08/1973,91.2056
01/09/1973,85.8295
01/10/1973,85.82951613
01/11/1973,87.40633333
01/12/1973,73.50435484
01/01/1974,69.63193548
01/02/1974,65.14214286
01/03/1974,69.86064516
01/04/1974,150.9081
01/05/1974,182.803
01/06/1974,168.445
01/07/1974,83.0815
01/08/1974,93.585
01/09/1974,134.699
01/10/1974,76.45
01/11/1974,70.8203
01/12/1974,67.5068
01/01/1975,65.5793
01/02/1975,68.1703
01/03/1975,80.7337
01/04/1975,77.95
01/05/1975,140.9397
01/06/1975,162.4487
01/07/1975,98.8863
01/08/1975,108.3867
01/09/1975,103.3091
01/10/1975,170.741
01/11/1975,181.074
01/12/1975,71.7059
01/01/1976,68.633
01/02/1976,66.3645
01/03/1976,130.2016
01/04/1976,140.6366
01/05/1976,180.6792
01/06/1976,83.3807
01/07/1976,126.2384
01/08/1976,92.1872
01/09/1976,78.3964
01/10/1976,74.3692
01/11/1976,72.1467
01/12/1976,128.832
01/01/1977,158.6546
01/02/1977,69.1733
01/03/1977,154.945
01/04/1977,210.012
01/05/1977,89.5268
01/06/1977,110.977
01/07/1977,96.7618
01/08/1977,70.0996
01/09/1977,74.5527
01/10/1977,101.8358
01/11/1977,88.2787
01/12/1977,175.24
01/01/1978,80.0425
01/02/1978,118.2712
01/03/1978,240.6756
01/04/1978,196.3619
01/05/1978,96.4024
01/06/1978,95.8846
01/07/1978,99.6788
01/08/1978,90.3321
01/09/1978,91.776
01/10/1978,100.8593
01/11/1978,189.1683
01/12/1978,175.6988
01/01/1979,88.7237
01/02/1979,83.4356
01/03/1979,84.0387
01/04/1979,144.1738
01/05/1979,91.956
01/06/1979,91.0963
01/07/1979,103.647
01/08/1979,89.2032
01/09/1979,80.0415
01/10/1979,76.3956
01/11/1979,105.0508
01/12/1979,99.8578
01/01/1980,67.8215
01/02/1980,67.453
01/03/1980,77.65
01/04/1980,86.5116
01/05/1980,80.045
01/06/1980,105.1789
01/07/1980,85.614
01/08/1980,77.1642
01/09/1980,44.2419
01/10/1980,73.87
01/11/1980,130.4788
01/12/1980,65.0923
01/01/1981,65.0468
01/02/1981,50.3665
01/03/1981,97.1146
01/04/1981,89.1464
01/05/1981,79.594
01/06/1981,87.3444
01/07/1981,96.8536
01/08/1981,96.4081
01/09/1981,118.85
01/10/1981,120.2828
01/11/1981,127.08
01/12/1981,97.4736
01/01/1982,67.7492
01/02/1982,64.58
01/03/1982,72.9261
01/04/1982,89.8092
01/05/1982,140.7435
01/06/1982,142.7712
01/07/1982,92.325
01/08/1982,85.6973
01/09/1982,83.4288
01/10/1982,100.5343
01/11/1982,200.3158
01/12/1982,180.9092
01/01/1983,102.635
01/02/1983,71.1671
01/03/1983,79.3246
01/04/1983,83.0019
01/05/1983,79.8576
01/06/1983,77.2335
01/07/1983,89.4409
01/08/1983,103.6162
01/09/1983,104.0065
01/10/1983,138.4259
01/11/1983,80.154
01/12/1983,72.34
01/01/1984,74.3886
01/02/1984,69.6595
01/03/1984,60.1936
01/04/1984,69.314
01/05/1984,60.4174
01/06/1984,75.7695
01/07/1984,82.7171
01/08/1984,87.2022
01/09/1984,69.0943
01/10/1984,60.7722
01/11/1984,75.1404
01/12/1984,72.7411
01/01/1985,66.8804
01/02/1985,67.9595
01/03/1985,68.7289
01/04/1985,91.3207
01/05/1985,97.4858
01/06/1985,90.8233
01/07/1985,89.7675
01/08/1985,91.3545
01/09/1985,91.1084
01/10/1985,79.0553
01/11/1985,78.9217
01/12/1985,71.8579
01/01/1986,68.0433
01/02/1986,67.2546
01/03/1986,70.2781
