tributary,start,end,n_months,missing_q,missing_pct,mean_q,std_q,min_q,max_q
Awach,2003-01-01,2023-12-01,252,0,0.0,7.305771666666667,3.6197507541389697,0.5644,24.1128
Grumeti,2003-01-01,2017-12-01,180,0,0.0,12.54945888888889,4.603097195686544,2.4186,23.295
Kagera,2003-01-01,2018-12-01,192,0,0.0,256.999969609375,163.09176480567754,18.9246,1258.2249
Katonga,1998-01-01,2008-12-01,132,0,0.0,3.438263325560606,3.082224895440549,0.00755844,16.05576736
Magogo,2003-01-01,2023-12-01,252,0,0.0,8.653702698412697,4.015725052004069,1.27554,23.0325
Mbalangeti,2003-01-01,2014-12-01,144,0,0.0,6.7108223194444445,4.506336468139899,0.096236,18.34
Migori,2003-01-01,2023-12-01,252,0,0.0,58.16851369444444,51.9326245807889,0.049049,229.67
Mori,2003-01-01,2023-12-01,252,0,0.0,4.8353844682539675,4.080109207263985,0.051102,19.907
Nyando,1965-01-01,1993-12-01,348,0,0.0,32.03047779431034,8.371549221171943,18.1532,63.1089
Nzoia,1976-01-01,1989-12-01,168,0,0.0,88.31008536940476,77.94229091876373,10.20767857,321.8686441
Rwizi,2001-01-01,2010-12-01,119,0,0.0,9.232468599756302,9.68452746240537,1.334962447,54.2021
Simiyu,2003-01-01,2020-12-01,216,0,0.0,13.231388611111113,9.24235944942994,0.38382,58.744
Sio_Malaba,2002-01-01,2018-12-01,204,0,0.0,11.772610723230391,7.685127227727744,0.8526,29.1099
Sondu,2003-01-01,2023-12-01,252,0,0.0,44.99220755555555,27.524442060662675,4.4267184,170.9316
Yala,1971-01-01,1990-11-01,239,0,0.0,96.74405696878661,37.98603119268685,44.2419,320.5419
