date,Observed,Agreed (from obs levels),Optimized
2001,1081.3839561643836,964.4379169228724,978.055261526989
2002,1130.7900273972602,997.275651919341,977.7690250984783
2003,1172.3913123287673,948.6893338211722,978.0769586896731
2004,1317.5084863387979,777.562426846563,974.1772116855683
2005,1192.387298630137,610.3302743128801,968.7539063177078
2006,769.8819835616438,491.1283654294266,968.2586170638516
2007,797.7403013698631,699.8552277315582,970.9683561752698
2008,911.3230819672132,717.3684176547324,971.8002173922545
2009,858.0644670329671,717.7626390538647,971.8557907567407
2010,872.0238082191781,782.9588263961874,974.4897819384058
2011,903.4007917808219,712.3593501069811,971.5334832977285
2012,847.4092622950819,840.3088235687252,976.933791486333
2013,836.6636712328767,1032.6763192968392,977.6335530341717
2014,820.2166630136986,1060.8595314627755,977.6408836673784
2015,878.2182109589041,1140.635607448948,976.5997172638444
2016,933.4243169398907,1303.3840391074373,974.5040754271473
2017,1010.4194246575344,1029.5872956872422,977.7561206879708
2018,998.9376856287424,1142.4026511678323,976.4284916173043
2019,966.716493150685,1168.689733999226,976.2860248148157
2020,1921.2649749303623,1781.4731715365972,969.7663814765725
2021,2195.1372021276597,1875.3194885782593,969.456474395232
