flood_days,scenario,threshold_relative_m,threshold_m_asl,year
0,Observed,12.5,1135.35,2001
0,Observed,12.5,1135.35,2002
0,Observed,12.5,1135.35,2003
0,Observed,12.5,1135.35,2004
0,Observed,12.5,1135.35,2005
0,Observed,12.5,1135.35,2006
0,Observed,12.5,1135.35,2007
0,Observed,12.5,1135.35,2008
0,Observed,12.5,1135.35,2009
0,Observed,12.5,1135.35,2010
0,Observed,12.5,1135.35,2011
0,Observed,12.5,1135.35,2012
0,Observed,12.5,1135.35,2013
0,Observed,12.5,1135.35,2014
0,Observed,12.5,1135.35,2015
78,Observed,12.5,1135.35,2016
0,Observed,12.5,1135.35,2017
0,Observed,12.5,1135.35,2018
21,Observed,12.5,1135.35,2019
366,Observed,12.5,1135.35,2020
117,Observed,12.5,1135.35,2021
0,Baseline (Agreed Curve),12.5,1135.35,2001
0,Baseline (Agreed Curve),12.5,1135.35,2002
0,Baseline (Agreed Curve),12.5,1135.35,2003
0,Baseline (Agreed Curve),12.5,1135.35,2004
0,Baseline (Agreed Curve),12.5,1135.35,2005
0,Baseline (Agreed Curve),12.5,1135.35,2006
0,Baseline (Agreed Curve),12.5,1135.35,2007
0,Baseline (Agreed Curve),12.5,1135.35,2008
0,Baseline (Agreed Curve),12.5,1135.35,2009
0,Baseline (Agreed Curve),12.5,1135.35,2010
0,Baseline (Agreed Curve),12.5,1135.35,2011
0,Baseline (Agreed Curve),12.5,1135.35,2012
0,Baseline (Agreed Curve),12.5,1135.35,2013
0,Baseline (Agreed Curve),12.5,1135.35,2014
0,Baseline (Agreed Curve),12.5,1135.35,2015
0,Baseline (Agreed Curve),12.5,1135.35,2016
0,Baseline (Agreed Curve),12.5,1135.35,2017
0,Baseline (Agreed Curve),12.5,1135.35,2018
0,Baseline (Agreed Curve),12.5,1135.35,2019
0,Baseline (Agreed Curve),12.5,1135.35,2020
0,Baseline (Agreed Curve),12.5,1135.35,2021
0,Optimized Rule,12.5,1135.35,2001
0,Optimized Rule,12.5,1135.35,2002
0,Optimized Rule,12.5,1135.35,2003
0,Optimized Rule,12.5,1135.35,2004
0,Optimized Rule,12.5,1135.35,2005
0,Optimized Rule,12.5,1135.35,2006
0,Optimized Rule,12.5,1135.35,2007
0,Optimized Rule,12.5,1135.35,2008
0,Optimized Rule,12.5,1135.35,2009
0,Optimized Rule,12.5,1135.35,2010
0,Optimized Rule,12.5,1135.35,2011
0,Optimized Rule,12.5,1135.35,2012
0,Optimized Rule,12.5,1135.35,2013
0,Optimized Rule,12.5,1135.35,2014
0,Optimized Rule,12.5,1135.35,2015
0,Optimized Rule,12.5,1135.35,2016
0,Optimized Rule,12.5,1135.35,2017
0,Optimized Rule,12.5,1135.35,2018
